Xsing M_ini		log(t)_in		P_in		M_in		log(Teff_in)		log(L_in)		Yc_in		Ve_in		N/C_out		N/O_out		log(dt)_out		P_out		log(Teff_out)		log(L_out)		Yc_out		Ve_out
omega_ini = 0.
1 2.0 9.012 0.143 2.00 3.872 1.494 0.986 0.0 0.247 0.132 7.096 0.189 3.831 1.486 0.986 0.0
1 2.5 8.743 0.282 2.50 3.851 1.859 0.986 0.0 0.247 0.132 6.017 0.346 3.816 1.826 0.986 0.0
1 3.0 8.518 0.470 3.00 3.833 2.120 0.986 0.0 0.247 0.132 5.341 0.549 3.804 2.086 0.986 0.0
1 4.0 8.193 0.964 4.00 3.819 2.542 0.986 0.0 0.247 0.132 4.754 1.185 3.781 2.495 0.986 0.0
1 5.0 7.955 1.725 5.00 3.804 2.863 0.986 0.0 0.247 0.132 4.356 2.244 3.758 2.812 0.986 0.0
2 5.0 8.010 4.066 4.97 3.743 3.055 0.329 0.0 1.27 0.442 5.758 2.950 3.793 3.094 0.338 0.0
3 5.0 8.030 3.269 4.97 3.790 3.136 0.168 0.0 1.27 0.442 5.859 4.814 3.736 3.109 0.092 0.0
1 7.0 7.628 4.546 7.00 3.776 3.365 0.986 0.0 0.247 0.132 3.602 5.752 3.739 3.331 0.986 0.0
2 7.0 7.674 15.20 6.93 3.684 3.580 0.314 0.0 1.30 0.453 4.951 7.900 3.769 3.611 0.294 0.0
3 7.0 7.697 8.686 6.91 3.769 3.660 0.019 0.0 1.30 0.453 4.598 13.87 3.704 3.627 0.012 0.0
1 9.0 7.426 9.413 8.99 3.759 3.749 0.986 0.0 0.247 0.132 3.269 13.09 3.707 3.701 0.986 0.0
2 9.0 7.465 31.19 8.81 3.680 4.004 0.233 0.0 1.38 0.482 3.994 16.65 3.758 4.023 0.229 0.0
3 9.0 7.479 14.91 8.80 3.764 3.991 0.001 0.0 1.38 0.482 3.918 28.18 3.670 3.913 0.000 0.0
1 12.0 7.192 19.24 11.94 3.752 4.176 0.984 0.0 0.247 0.132 3.093 33.88 3.665 4.091 0.984 0.0
1 15.0 7.065 68.42 14.63 3.722 4.728 0.640 0.0 0.247 0.132 4.340 185.0 3.589 4.646 0.621 0.0
omega_ini = 0.5
1 2.0 9.108 0.181 2.00 3.858 1.584 0.986 95.9 0.287 0.148 7.188 0.246 3.819 1.593 0.986 79.3
1 2.5 8.833 0.377 2.50 3.842 1.987 0.986 65.5 0.300 0.153 6.068 0.480 3.805 1.963 0.986 55.4
1 3.0 8.614 0.639 3.00 3.828 2.271 0.986 49.8 0.319 0.161 5.440 0.799 3.792 2.239 0.986 42.3
1 4.0 8.283 1.364 4.00 3.811 2.696 0.986 34.5 0.364 0.179 4.854 1.841 3.761 2.646 0.986 27.4
1 5.0 8.046 2.478 5.00 3.796 3.023 0.986 25.8 0.435 0.208 4.401 3.462 3.743 2.973 0.986 19.9
2 5.0 8.085 6.135 4.97 3.719 3.163 0.367 21.7 2.92 0.765 5.878 3.859 3.787 3.214 0.322 30.4
3 5.0 8.094 4.064 4.96 3.788 3.242 0.226 26.5 2.92 0.765 6.409 7.324 3.720 3.253 0.123 11.4
1 7.0 7.715 6.440 7.00 3.772 3.524 0.986 15.3 0.626 0.271 3.789 9.797 3.708 3.472 0.986 11.1
2 7.0 7.747 21.15 6.92 3.672 3.698 0.396 20.5 3.46 0.825 4.718 9.766 3.768 3.728 0.384 41.5
3 7.0 7.765 12.72 6.89 3.756 3.803 0.034 26.8 3.46 0.825 4.900 27.76 3.658 3.757 0.022 11.2
1 9.0 7.503 13.40 8.99 3.754 3.906 0.986 11.8 0.893 0.350 3.461 22.91 3.674 3.828 0.986 7.5
2 9.0 7.528 58.13 8.80 3.631 4.089 0.454 12.1 4.08 0.902 3.981 24.41 3.734 4.131 0.450 46.6
3 9.0 7.546 25.72 8.77 3.739 4.161 0.013 23.4 4.08 0.902 4.268 61.66 3.620 4.073 0.007 4.1
1 12.0 7.273 36.05 11.90 3.734 4.407 0.982 14.5 1.34 0.461 3.404 86.11 3.619 4.327 0.981 5.4
1 15.0 7.140 98.39 14.47 3.714 4.850 0.784 3.8 1.87 0.597 4.694 294.0 3.572 4.799 0.747 1.
omega_ini = 0.9
1 2.5 8.875 0.434 2.50 3.830 2.046 0.986 119.4 0.702 0.283 6.125 0.596 3.786 2.018 0.986 92.1
1 3.0 8.636 0.645 3.00 3.823 2.277 0.986 94.9 0.841 0.323 5.523 0.841 3.781 2.234 0.986 77.2
1 4.0 8.302 1.295 4.00 3.809 2.671 0.986 66.9 1.15 0.400 4.821 1.693 3.763 2.617 0.986 54.1
1 5.0 8.062 2.236 5.00 3.793 2.961 0.986 50.2 1.64 0.490 4.354 2.976 3.744 2.905 0.986 40.0
2 5.0 8.117 5.935 4.97 3.721 3.158 0.248 33.5 6.21 0.939 6.495 4.608 3.778 3.264 0.264 27.4
3 5.0 8.128 4.380 4.96 3.780 3.247 0.225 24.8 6.21 0.939 5.925 7.214 3.714 3.226 0.119 20.8
1 7.0 7.727 5.059 7.00 3.777 3.426 0.986 33.3 3.01 0.659 3.824 7.681 3.710 3.355 0.986 23.7
2 7.0 7.761 17.35 6.95 3.675 3.621 0.492 31.9 9.57 1.03 4.842 8.527 3.763 3.657 0.481 65.1
3 7.0 7.787 10.83 6.91 3.767 3.770 0.055 36.6 9.57 1.03 5.013 21.78 3.677 3.734 0.036 19.2
1 9.0 7.515 11.79 8.99 3.762 3.875 0.982 20.6 4.82 0.797 3.792 22.02 3.675 3.819 0.981 12.9
1 12.0 7.312 51.88 11.76 3.731 4.562 0.512 14.6 7.33 0.945 4.594 149.3 3.601 4.501 0.492 3.6
1 15.0 7.183 107.6 14.21 3.719 4.907 0.268 3.8 6.84 1.04 4.946 359.2 3.571 4.871 0.258 2.
