Z 	Y 	M/Mo log_L/Lo Te(FOBE) Te(FBE) Te(FORE) Te(FRE) Source
0.008 	0.25 	3.0 	2.39 	____	6050 	____	5850 	This_paper
0.008 	0.25 	4.0 	2.78 	6650 	5950 	5850 	5625 	Bono_et_al._(2001b)
0.008 	0.25 	5.0 	3.07 	6450 	5950 	5850 	5450 	Bono_et_al._(1999b)
0.008 	0.25 	7.0 	3.65 	5850 	5850 	5650 	4950 	Bono_et_al._(1999b)
0.008 	0.25 	7.45 	3.75 	____	5850 	____	4850 	Bono_et_al._(2000b)
0.008 	0.25 	9.0 	4.00 	____	5650 	____	4650 	Bono_et_al._(1999b)
0.008 	0.25 	11.0 	4.40 	____	5250 	____	4150 	Bono_et_al._(1999b)
0.008 	0.35 	3.0 	2.59 	6650 	6350 	6250 	5850 	This_paper
0.008 	0.35 	4.0 	3.01 	6550 	6150 	6050 	5650 	This_paper
0.008 	0.35 	5.0 	3.33 	6350 	6150 	6050 	5350 	This_paper
0.008 	0.35 	6.0 	3.60 	6150 	6050 	5750 	5250 	This_paper
0.008 	0.35 	7.0 	3.82 	5950 	5950 	5750 	5050 	This_paper
0.008 	0.35 	8.0 	4.02 	____	5850 	____	4850 	This_paper
0.008 	0.35 	9.0 	4.19 	____	5750 	____	4850 	This_paper
0.008 	0.35 	10.0 	4.34 	____	5750 	____	4640 	This_paper
0.008 	0.35 	11.0 	4.48 	____	5650 	____	4550 	This_paper
0.008 	0.35 	12.0 	4.61 	____	5550 	____	4450 	This_paper 
