Star	R.A.	Decl_(deg)	Class	Quality	Source	T_eff	sigma_T	Logg	sigma_g	F606W	mu_(mag)	sigma_mu	
sscma0003	111.4971	-25.2325	K0IV	fair	Gemini	5340	156	3.74	0.5	13.85	11.66	0.10	
sscma0005	111.5198	-25.2406	A7V	good	Gemini	7920	254	3.89	0.5	12.34	9.779	0.11	
sscma0006	111.5137	-25.2626	G5IV	vgood	N/A	5730	114	3.80	0.5	16.56	10.80	0.13	
sscma0010	111.5417	-25.2306	F7IV	vgood	Gemini	6550	205	3.89	0.5	16.33	11.33	0.13	
sscma0014	111.5199	-25.2360	F5IV-V	vgood	Lick	6700	134	3.96	0.5	12.33	9.142	0.12	
sscma0025	111.5430	-25.2747	G5IV-V	good	Lick	5730	114	3.89	0.5	14.72	10.72	0.14	
sscma0026	111.5227	-25.2806	A2III-IV	vgood	Lick	8675	362	4.44	0.5	13.71	11.57	0.14	
sscma0029	111.5334	-25.2550	G6V	vgood	Gemini	5693	133	4.24	0.5	15.33	10.16	0.11	
sscma0031	111.5465	-25.2718	F8IV	vgood	Gemini	6425	156	3.88	0.5	15.46	11.07	0.14	
sscma0038	111.5387	-25.2663	G0V	vgood	Lick	5745	328	4.23	0.5	15.55	11.14	0.11	
sscma0039	111.5639	-25.2815	G0V	fair	Lick	6300	180	4.12	0.5	16.69	11.34	0.15	
sscma0043	111.5217	-25.2864	K5III	good	Keck	5500	188	1.00	0.1	15.26	17.67	0.15	
sscma0044	111.5229	-25.2878	G2IV-V	good	Lick	5800	185	3.90	0.5	15.33	10.88	0.10	
sscma0045	111.5305	-25.2872	F8II-III	fair	Lick	6300	128	3.20	0.6	15.58	13.09	0.10	
sscma0066	111.5503	-25.2656	G6IV-V	good	Lick	5513	133	3.86	0.5	17.08	11.89	0.65	
sscman001	111.5079	-25.2345	NA	NA	NA	0	0	0.00	0.0	0.000	11.10	0.17	
													
xycar0065	165.5151	-64.2920	M5III	poor	Gemini	5440	133	0.00	0.0	16.59	13.85	0.10	
xycar0068	165.6194	-64.2607	F8IV-V	good	Gemini	6300	156	3.94	0.5	15.99	11.23	0.15	
xycar0071	165.6018	-64.2744	G9IV	vgood	Gemini	5390	156	3.75	0.5	15.81	11.80	0.25	
xycar0083	165.5281	-64.2914	K4	fair	Gemini	4600	260	0.00	0.0	15.44	13.10	0.15	
xycar0098	165.5259	-64.2498	F8V	vgood	Gemini	6425	156	4.10	0.5	14.75	10.36	0.15	
xycar0100	165.5023	-64.2788	A1IV-V	vgood	Gemini	9185	339	3.94	0.5	14.67	11.75	0.10	
xycar0105	165.5614	-64.2864	K4II	good	Gemini	5020	509	1.95	0.7	12.51	12.01	0.22	
