Star Mode P P_ERR EMAX EMAX_ERR ampV ampV_ERR B B_ERR V V_ERR
ASASSN_J180946.70-182238.2 DCEP_F 7.28954 1.3e-04 57053.15 2.0e-02 0.692 0.010 -- -- 11.456 0.010
ASAS_J052610+1151.3 DCEP_F 4.232016 1.2e-05 51964.8488 1.0e-04 0.604 0.010 12.046 0.019 10.946 0.010
ASAS_J061022+1438.6 DCEP_1O 4.83807 2.0e-05 52604.26 7.0e-02 0.258 0.010 -- -- 9.880 0.010
ASAS_J063519+2117.8 DCEP_1O 1.512365 2.0e-06 52617.06 2.0e-02 0.320 0.010 -- -- 11.453 0.010
ASAS_J065413+0756.5 DCEP_1O 0.7774053 4.0e-07 52547.541 6.0e-03 0.302 0.010 -- -- 11.362 0.010
ASAS_J070832-1454.5 DCEP_1O 6.38771 4.0e-05 51844.56 1.3e-01 0.144 0.010 10.809 0.016 9.696 0.010
ASAS_J070911-1217.2 DCEP_1O 2.412282 9.0e-06 51860.011 2.0e-03 0.280 0.010 11.544 0.019 10.603 0.010
ASAS_J072424-0751.3 DCEP_1O 2.071284 4.0e-06 51862.56755 1.0e-05 0.224 0.010 11.092 0.020 10.352 0.010
ASAS_J074401-1707.8 DCEP_1O 2.629941 3.0e-06 51859.00045 2.0e-05 0.445 0.010 -- -- 11.510 0.010
ASAS_J074412-1704.9 DCEP_1O 4.7013 3.0e-05 51853.20 3.0e-02 0.267 0.010 -- -- 10.196 0.010
ASAS_J162326-0941.0 DCEP_1O 1.378236 3.0e-06 51931.41005 1.0e-05 0.261 0.010 10.607 0.010 9.817 0.010
ASAS_J180342-2211.0 DCEP_F 42.6272 1.2e-03 51806.225 1.4e-02 0.785 0.010 -- -- 10.907 0.010
ASAS_J182714-1507.1 DCEP_F 5.54565 2.0e-05 51946.2010 3.0e-04 0.642 0.010 -- -- 10.692 0.010
ASAS_J183347-0448.6 DCEP_1O 3.102301 8.0e-06 51953.99 2.0e-02 0.300 0.010 12.354 0.021 10.846 0.010
ASAS_J183652-0907.1 DCEP_1O 2.589889 7.0e-06 51955.25 1.4e-02 0.236 0.010 12.973 0.013 11.600 0.010
ASAS_J183904-1049.3 DCEP_1O 3.05774 1.0e-05 51951.79 5.0e-02 0.228 0.010 11.913 0.037 10.590 0.010
ASAS_J192007+1247.7 DCEP_F 8.62797 4.0e-05 52673.95390 4.0e-05 0.423 0.010 -- -- 10.359 0.010
ASAS_J192310+1351.4 DCEP_1O 2.972999 5.0e-06 52702.25806 7.0e-05 0.395 0.010 -- -- 10.956 0.010
BD+59_12 DCEP_1O 2.8417 7.0e-05 56998.98 4.0e-02 0.200 0.010 -- -- 10.217 0.010
CF_Cam DCEP_F 9.4361 3.0e-04 57007.925 2.0e-03 0.573 0.010 -- -- 12.118 0.010
DR2_468646563398354176 DCEP_1O 2.99108 5.0e-05 56998.81 3.0e-02 0.374 0.010 -- -- 11.245 0.010
DR2_514736269771300224 DCEP_1O 3.29896 3.0e-05 56998.5814 2.0e-04 0.355 0.010 -- -- 10.789 0.010
HD_160473 DCEP_1O 3.779702 1.4e-05 51928.4838 2.0e-04 0.180 0.010 10.680 0.005 9.490 0.010
HO_Vul DCEP_F 5.630938 1.2e-05 52716.14412 8.0e-05 0.718 0.010 -- -- 11.653 0.010
OGLE-GD-CEP-0066 DCEP_1O 2.312167 4.0e-06 51972.95 3.0e-02 0.395 0.010 -- -- 11.504 0.010
OGLE-GD-CEP-0104 DCEP_1O 2.177743 2.0e-06 51863.502 7.0e-03 0.336 0.010 -- -- 11.508 0.010
OO_Pup DCEP_F 10.98279 3.0e-05 51839.4660 3.0e-04 0.587 0.010 -- -- 11.568 0.010
OP_Pup DCEP_1O 2.598824 3.0e-06 51858.62722 1.0e-05 0.439 0.010 -- -- 11.022 0.010
OR_Cam DCEP_1O 3.6852 2.0e-04 57024.90 6.0e-02 0.286 0.010 -- -- 10.402 0.010
TX_Sct DCEP_F 24.3522 2.0e-04 51879.853 2.0e-03 0.873 0.010 -- -- 12.422 0.010
V1495_Aql DCEP_F 8.79653 4.0e-05 51938.46232 1.0e-05 0.629 0.010 13.771 0.034 11.932 0.010
V1496_Aql DCEP_F 65.83 7.0e-02 56474.6 1.0e-01 0.543 0.010 12.449 0.028 10.226 0.010
V1788_Cyg DCEP_F 14.09383 8.0e-05 52582.99 1.2e-02 0.753 0.010 -- -- 12.709 0.010
V2475_Cyg DCEP_F 11.5559 3.0e-04 57042.879 3.0e-03 0.954 0.010 -- -- 12.549 0.010
V355_Sge DCEP_F 32.071 6.0e-06 52721.69 2.0e-02 0.660 0.012 14.966 0.010 12.280 0.010
V371_Gem DCEP_1O 2.137457 9.0e-06 52614.91 3.0e-02 0.381 0.010 -- -- 10.753 0.010
V383_Cyg DCEP_F 4.612297 6.0e-06 46974.62802 1.0e-05 0.547 0.010 12.512 0.010 10.883 0.010
V389_Sct DCEP_1O 3.793899 6.0e-06 51950.18481 6.0e-05 0.379 0.010 -- -- 11.324 0.010
V536_Ser DCEP_F 9.00985 5.0e-05 51917.9 1.1e-01 0.514 0.010 -- -- 11.780 0.010
V5567_Sgr DCEP_F 9.76289 5.0e-05 51920.97 7.0e-02 0.558 0.010 -- -- 10.560 0.010
V598_Per DCEP_F 5.66819 4.0e-05 56988.6154 6.0e-04 0.809 0.010 -- -- 12.396 0.010
V824_Cas DCEP_1O 5.35066 2.0e-05 50294.73783 1.0e-05 0.315 0.010 12.535 0.015 11.224 0.010
V912_Aql DCEP_F 4.4004 7.0e-06 48552.15605 1.0e-05 0.707 0.010 13.431 0.013 11.359 0.010
V914_Mon DCEP_1O 2.680631 1.5e-05 52542.15 4.0e-02 0.393 0.010 -- -- 10.762 0.010
V946_Cas DCEP_1O 4.238789 1.0e-05 52715.69 3.0e-02 0.480 0.010 -- -- 11.544 0.010
V966_Mon DCEP_1O/2O 1.068037 2.0e-06 52523.80 2.0e-02 0.281 0.010 -- -- 11.728 0.010
X_Sct DCEP_F 4.198051 6.0e-06 51949.75476 1.0e-05 0.843 0.010 11.169 0.020 10.009 0.010
ZTF_J000234.99+650517.9 DCEP_F 10.9323 6.0e-04 57002.19 7.0e-02 0.340 0.010 -- -- 11.519 0.010
