CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
OGLE0434 5660 0.30 2.90 -0.40 100 0.13 0.10 -0.396 0.123 0.0665 101 -0.429 0.134 0.0435 15 0.82 -0.17666E-02 0.26308E-01 6.210 1.07891 -0.361 0.014 0.0985 2
OGLE0501 5130 0.30 3.10 -0.40 77 0.05 0.09 -0.417 0.087 0.0515 84 -0.427 0.059 0.0345 12 0.52 -0.29268E-02 -0.34711E-02 5.620 1.02856 -0.214 0.074 0.095 2
OGLE0510 5530 0.10 3.70 -0.40 64 0.15 0.14 -0.376 0.106 0.0325 82 -0.393 0.141 0.025 9 0.44 -0.31682E-03 0.18373E-01 6.190 1.08898 -0.303 0.020 0.0645 1
OGLE0512 5200 0.00 3.50 -0.50 79 0.09 0.15 -0.478 0.130 0.06 91 -0.415 0.109 0.0055 14 1.62 0.38943E-02 -0.12604E-01 6.210 1.07702 -0.35 0.010 0.0625 2
OGLE0528 5200 0.10 3.50 -0.40 64 0.08 0.19 -0.412 0.123 0.037 91 -0.431 0.067 0.0225 15 0.98 -0.31072E-02 0.57102E-01 6.210 1.03868 -0.29 0.009 0.07 2
OGLE0545 5420 0.80 3.90 -0.40 85 0.05 0.15 -0.368 0.085 0.063 78 -0.402 0.043 0.0515 10 1.86 -0.36896E-03 -0.12334E-01 5.600 .99689 -0.224 0.050 0.103 1
OGLE0590 5880 0.00 3.60 -0.40 322 0.10 0.09 -0.407 0.101 0.229 83 -0.382 0.134 0.082 15 0.66 -0.20221E-02 -0.87695E-02 5.890 1.07497 -8.69 0.000 0 0
OGLE0594 5520 0.90 3.60 -0.50 194 0.05 0.23 -0.495 0.135 0.12 71 -0.502 0.017 0.105 6 0.37 0.47529E-03 0.92693E-02 5.600 .90180 -0.119 0.050 0.2135 1
OGLE0648 5300 0.50 2.90 -0.40 90 0.07 0.08 -0.453 0.094 0.0605 98 -0.466 0.090 0.0385 17 0.67 0.18603E-02 0.20658E-01 5.600 1.07475 -0.323 0.030 0.106 1
OGLE0683 5560 0.40 3.00 -0.30 105 0.12 0.09 -0.376 0.113 0.068 90 -0.399 0.145 0.0485 16 0.52 0.25950E-02 0.81673E-03 5.600 1.05232 -0.284 0.040 0.121 1
OGLE0712 5630 0.50 2.90 -0.30 77 0.10 0.09 -0.331 0.112 0.049 101 -0.338 0.112 0.052 16 0.59 0.19911E-02 -0.28466E-01 5.620 1.03741 -0.242 0.028 0.0975 2
OGLE0716 5130 0.50 2.60 -0.40 71 0.07 0.08 -0.452 0.092 0.053 100 -0.445 0.083 0.0495 14 0.71 0.55259E-02 -0.11434E-01 5.620 1.04734 -0.244 0.057 0.0935 2
OGLE0727 5490 0.60 4.00 -0.60 240 0.08 0.13 -0.551 0.094 0.1665 70 -0.582 0.105 0.169 13 1.93 -0.73585E-05 0.81003E-01 5.300 1.04007 0 0 0 0
OGLE0757 5390 0.90 3.70 -0.30 100 0.08 0.13 -0.346 0.079 0.063 75 -0.335 0.107 0.0525 14 0.36 0.10477E-02 -0.55116E-02 5.320 .94584 0 0 0 0
OGLE0770 5130 0.40 2.90 -0.40 73 0.04 0.07 -0.44 0.097 0.045 96 -0.452 0.052 0.0315 14 1.25 0.24189E-02 0.46643E-01 5.600 1.04355 -0.465 0.020 0.0955 1
OGLE0787 4980 0.50 4.00 -0.40 69 0.09 0.43 -0.38 0.160 0.054 63 -0.37 0.066 0.06 8 1.36 -0.14726E-02 0.18581E+00 5.320 .86409 0 0 0 0
OGLE0798 5220 0.70 4.00 -0.40 83 0.07 0.18 -0.412 0.097 0.0635 82 -0.451 0.079 0.053 12 1.91 -0.65493E-03 0.65758E-01 5.320 1.07564 0 0 0 0
OGLE0800 5830 0.50 3.00 -0.60 138 0.10 0.08 -0.57 0.102 0.1015 88 -0.492 0.186 0.041 15 1.51 0.32475E-03 0.80160E-03 5.300 1.09674 0 0 0 0
OGLE0812 6100 0.50 2.70 -0.40 118 0.12 0.11 -0.389 0.109 0.0715 98 -0.395 0.158 0.064 18 0.21 0.83137E-04 -0.79072E-02 5.620 1.08531 -0.053 0.050 0.1175 1
OGLE0819 5060 0.70 3.40 -0.30 55 0.06 0.16 -0.29 0.114 0.0345 85 -0.295 0.057 0.0225 11 0.37 0.53461E-02 0.14295E-01 5.600 .97255 -0.096 0.020 0.0735 1
OGLE0821 5160 0.00 3.30 -0.60 89 0.07 0.11 -0.576 0.095 0.058 88 -0.565 0.095 0.0145 14 0.46 -0.32656E-02 0.42171E-02 5.600 1.08505 -0.434 0.020 0.084 1
OGLE0831 5190 0.70 3.50 -0.40 84 0.07 0.14 -0.402 0.105 0.054 88 -0.438 0.064 0.038 12 1.20 0.52246E-03 -0.17657E-01 5.620 .98756 -0.275 0.066 0.097 2
OGLE0844 5920 0.40 3.40 -0.30 141 0.13 0.14 -0.344 0.108 0.0765 82 -0.332 0.118 0.074 12 0.29 0.12948E-02 0.58029E-02 5.300 1.01211 0 0 0 0
OGLE0847 4930 0.20 3.20 -0.40 81 0.06 0.11 -0.398 0.116 0.0465 89 -0.443 0.080 0.0205 14 1.75 0.50507E-02 -0.25703E-01 5.620 1.08799 -0.288 0.094 0.086 2
OGLE0848 5430 0.80 3.90 -0.50 141 0.06 0.13 -0.461 0.082 0.0955 65 -0.462 0.055 0.072 9 0.52 0.43924E-02 -0.61369E-03 5.300 .93917 0 0 0 0
OGLE0888 5590 0.60 2.80 -0.40 87 0.10 0.07 -0.406 0.095 0.062 100 -0.446 0.121 0.0395 17 0.99 0.22455E-04 -0.88805E-03 5.910 1.0921 0 0 0 0
OGLE0915 5430 1.00 3.10 -0.50 98 0.07 0.08 -0.473 0.089 0.071 101 -0.462 0.072 0.0755 14 0.46 0.76110E-03 0.79417E-02 5.620 1.05847 -0.362 0.008 0.1275 2
OGLE0936 5980 0.60 3.00 -0.50 79 0.10 0.13 -0.492 0.110 0.037 93 -0.522 0.146 0.034 17 0.85 0.16928E-02 0.17176E-01 5.320 1.06708 -8.69 0.000 0 0
OGLE0949 5520 0.80 3.90 -0.40 95 0.06 0.17 -0.428 0.089 0.071 83 -0.428 0.082 0.0585 12 0.25 -0.24347E-02 -0.14137E-02 5.320 1.05155 0 0 0 0
OGLE0966 4900 0.00 4.00 -0.40 62 0.07 0.23 -0.444 0.120 0.051 73 -0.445 0.068 0.022 9 1.14 0.10344E-02 0.96866E-01 5.600 1.01824 -0.418 0.020 0.0535 1
OGLE0969 5130 0.70 3.20 -0.40 62 0.06 0.18 -0.383 0.113 0.039 94 -0.386 0.066 0.035 15 0.14 -0.71857E-03 0.34688E-02 5.620 .98999 -0.298 0.025 0.076 2
OGLE0970 5550 0.50 3.40 -0.30 80 0.08 0.12 -0.323 0.099 0.056 82 -0.345 0.104 0.0385 13 0.71 -0.21373E-02 -0.13416E-01 5.600 1.06820 -0.204 0.030 0.083 1
OGLE0975 5690 0.60 3.30 -0.40 129 0.10 0.14 -0.396 0.108 0.088 75 -0.426 0.137 0.056 14 0.76 -0.29453E-03 0.12735E-01 5.300 1.03190 0 0 0 0
OGLE0978 5250 0.60 3.70 -0.40 73 0.06 0.16 -0.427 0.100 0.043 80 -0.434 0.069 0.0465 12 0.34 0.26346E-03 0.11581E-01 5.600 1.05549 -0.315 0.030 0.094 1
OGLE0986 5430 0.10 4.00 -0.40 132 0.15 0.16 -0.397 0.102 0.088 69 -0.45 0.160 0.082 8 0.94 -0.20202E-02 0.23216E-01 5.320 .97977 0 0 0 0
OGLE0992 5370 0.20 4.00 -0.40 75 0.17 0.16 -0.406 0.081 0.051 64 -0.387 0.176 0.071 7 2.49 0.15831E-02 0.13384E+00 5.600 1.04559 -0.316 0.020 0.1065 1
OGLE1001 5030 0.50 3.40 -0.30 67 0.08 0.12 -0.31 0.117 0.0505 92 -0.345 0.102 0.0185 12 0.95 0.19789E-02 0.17612E-01 5.620 .89818 -0.159 0.099 0.069 2
OGLE1031 4830 0.40 3.70 -0.40 59 0.06 0.13 -0.411 0.099 0.0455 69 -0.431 0.085 0.0165 13 0.89 -0.46331E-04 0.25384E-01 5.600 1.01287 -0.375 0.030 0.0665 1
OGLE1058 6060 0.70 3.20 -0.50 262 0.15 0.13 -0.462 0.132 0.147 66 -0.452 0.210 0.15 14 0.20 -0.20163E-03 -0.49595E-02 5.620 1.06153 0.035 0.113 0.2655 2
OGLE1080 5030 0.50 4.00 -0.50 100 0.07 0.39 -0.489 0.164 0.08 73 -0.481 0.085 0.061 8 1.63 0.59056E-03 0.15428E+00 5.300 .91330 0 0 0 0
OGLE1109 5360 0.80 3.60 -0.50 100 0.06 0.14 -0.479 0.113 0.0725 90 -0.502 0.071 0.059 13 0.94 0.74418E-03 0.93110E-02 5.600 1.02629 -0.42 0.060 0.118 1
OGLE1112 5620 0.70 3.40 -0.30 143 0.10 0.16 -0.341 0.145 0.0995 83 -0.367 0.087 0.067 12 0.74 0.19236E-03 -0.34442E-02 5.620 1.00483 0.194 0.040 0.132 1
OGLE1313 6000 0.90 3.30 -0.80 232 0.08 0.11 -0.793 0.091 0.1265 82 -0.823 0.072 0.105 12 1.00 0.10937E-02 0.19904E-03 5.620 1.05866 -0.03 0.056 0.2285 2
OGLE1374 5360 0.60 3.70 -0.60 143 0.09 0.16 -0.633 0.100 0.0835 75 -0.672 0.086 0.078 10 1.34 0.14818E-02 0.90232E-02 5.620 .97654 -0.085 0.050 0.157 1
OGLE1389 5530 0.70 2.80 -0.40 86 0.11 0.07 -0.428 0.100 0.0515 97 -0.437 0.123 0.0455 15 0.40 -0.15155E-02 0.14623E-01 5.600 1.06468 -0.395 0.040 0.1035 1
