CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
OGLE0434 5890 0.80 2.90 -0.30 100 0.14 0.12 -0.27 0.147 0.0615 107 -0.246 0.146 0.0595 15 2.44 -0.38402E-01 0.13700E-02 6.210 1.07891 -0.068 0.013 0.107 2
OGLE0501 5273 0.60 3.10 -0.30 77 0.06 0.11 -0.308 0.117 0.0515 96 -0.31 0.055 0.0395 11 1.53 -0.17571E-01 0.24166E-01 5.620 1.02856 -0.023 0.075 0.096 2
OGLE0510 5853 0.70 3.30 -0.10 64 0.21 0.16 -0.124 0.149 0.038 88 -0.103 0.216 0.036 9 2.23 -0.36191E-01 0.19262E-01 6.190 1.08898 0.105 0.020 0.071 1
OGLE0512 5497 0.40 3.80 -0.30 79 0.07 0.34 -0.292 0.145 0.0485 92 -0.288 0.072 0.047 12 3.95 -0.57130E-01 -0.73677E-02 6.210 1.09322 -0.042 0.003 0.09 2
OGLE0528 5465 0.50 3.30 -0.20 64 0.08 0.23 -0.208 0.156 0.0275 103 -0.206 0.073 0.0405 13 2.64 -0.40111E-01 -0.24303E-01 6.210 1.03868 0.017 0.013 0.0785 2
OGLE0545 5485 0.90 4.00 -0.30 85 0.05 0.21 -0.342 0.135 0.068 93 -0.377 0.041 0.0415 10 2.69 -0.24751E-01 0.13635E-01 5.600 .99689 -0.141 0.050 0.0865 1
OGLE0590 6229 0.50 3.80 -0.20 322 0.12 0.11 -0.217 0.104 0.185 86 -0.21 0.145 0.134 15 2.30 -0.31122E-01 -0.18156E-01 5.890 1.08010 -8.69 0.000 0 0
OGLE0594 5885 1.50 3.30 -0.30 194 0.09 0.26 -0.186 0.179 0.117 72 -0.167 0.065 0.0935 8 3.34 -0.58868E-01 -0.37197E-02 5.600 .86466 0.305 0.060 0.1925 1
OGLE0648 5549 1.00 3.10 -0.30 90 0.07 0.12 -0.322 0.146 0.053 111 -0.335 0.079 0.048 17 4.21 -0.52306E-01 -0.11455E-01 5.600 1.07475 -0.009 0.030 0.104 1
OGLE0683 5843 0.90 2.90 -0.20 105 0.13 0.10 -0.181 0.134 0.0705 92 -0.176 0.163 0.074 16 2.19 -0.37025E-01 0.44327E-01 5.600 1.05232 0.031 0.040 0.129 1
OGLE0712 5651 0.50 2.40 -0.20 77 0.16 0.25 -0.209 0.287 0.05 118 -0.195 0.201 0.0525 16 0.39 0.82919E-02 0.71103E-02 5.620 1.06464 -0.206 0.022 0.097 2
OGLE0716 5296 0.80 2.70 -0.40 71 0.06 0.08 -0.356 0.122 0.0495 115 -0.387 0.079 0.0535 14 2.63 -0.28196E-01 0.33785E-02 5.650 1.09131 -0.076 0.054 0.095 2
OGLE0727 5849 1.20 4.00 -0.30 240 0.09 0.24 -0.322 0.137 0.1625 79 -0.337 0.093 0.147 12 4.85 -0.61572E-01 0.11501E+00 5.300 1.04007 0 0 0 0
OGLE0757 5466 0.90 3.70 -0.30 100 0.09 0.21 -0.286 0.147 0.065 92 -0.327 0.093 0.0525 13 2.12 -0.23808E-01 0.17630E-01 5.320 .94584 0 0 0 0
OGLE0770 5274 0.80 3.00 -0.40 73 0.05 0.10 -0.346 0.134 0.053 105 -0.373 0.069 0.034 17 1.90 -0.25580E-01 0.20541E-01 5.600 1.04355 -0.257 0.020 0.076 1
OGLE0787 5018 0.60 4.00 -0.40 69 0.09 0.38 -0.351 0.162 0.0535 66 -0.34 0.066 0.061 8 1.25 -0.15123E-01 0.13511E+00 5.320 .93641 0 0 0 0
