CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
OGLE0434 5918 0.80 3.00 -0.20 100 0.13 0.10 -0.247 0.130 0.0615 102 -0.248 0.130 0.0615 14 2.90 -0.44093E-01 -0.24986E-01 6.210 1.07891 -0.033 0.015 0.108 2
OGLE0501 5345 0.70 3.10 -0.20 77 0.06 0.11 -0.256 0.121 0.0505 97 -0.268 0.057 0.0405 11 2.64 -0.31101E-01 0.36461E-02 5.620 1.02856 0.064 0.074 0.0955 2
OGLE0510 5804 0.70 3.70 -0.20 64 0.20 0.16 -0.192 0.176 0.029 95 -0.193 0.173 0.0455 9 2.67 -0.65103E-01 0.21590E-01 6.190 1.08898 0.059 0.020 0.0795 1
OGLE0512 5564 0.50 3.60 -0.20 79 0.09 0.21 -0.236 0.146 0.0535 93 -0.224 0.078 0.0605 11 4.29 -0.65208E-01 -0.24282E-01 6.210 1.09322 0.048 0.007 0.0985 2
OGLE0528 5540 0.70 3.90 -0.20 64 0.07 0.30 -0.228 0.145 0.0365 100 -0.246 0.058 0.0335 13 3.75 -0.59535E-01 0.45460E-02 6.210 1.03868 0.103 0.002 0.0705 2
OGLE0545 5601 1.20 4.00 -0.30 85 0.05 0.19 -0.264 0.134 0.064 91 -0.268 0.043 0.0605 10 3.96 -0.45889E-01 0.69998E-01 5.600 .99689 0.02 0.050 0.1035 1
OGLE0590 6244 0.50 3.50 -0.20 322 0.13 0.13 -0.15 0.137 0.183 92 -0.151 0.164 0.1805 15 3.35 -0.52165E-01 0.16911E-01 5.890 1.08010 -8.69 0.000 0 0
OGLE0594 5729 1.20 3.50 -0.30 194 0.06 0.30 -0.337 0.174 0.1225 76 -0.358 0.021 0.102 6 2.03 -0.33351E-01 0.17800E-01 5.600 .90180 0.121 0.050 0.2025 1
OGLE0648 5694 1.30 3.20 -0.20 90 0.08 0.13 -0.234 0.143 0.0605 109 -0.241 0.082 0.0605 17 5.81 -0.70179E-01 -0.21051E-01 5.600 1.07475 0.18 0.030 0.1035 1
OGLE0683 5834 0.90 2.90 -0.20 105 0.13 0.10 -0.187 0.134 0.0695 92 -0.176 0.162 0.076 16 2.13 -0.35863E-01 0.43791E-01 5.600 1.05232 0.026 0.040 0.135 1
OGLE0712 5700 0.60 2.70 -0.30 77 0.13 0.13 -0.258 0.171 0.0485 117 -0.27 0.141 0.0525 16 1.25 -0.19822E-01 0.20352E-01 5.620 1.06464 -0.167 0.024 0.0975 2
OGLE0716 5408 1.10 2.80 -0.30 71 0.06 0.08 -0.298 0.127 0.045 116 -0.302 0.081 0.034 14 4.01 -0.47004E-01 -0.20681E-01 5.650 1.09131 0.097 0.051 0.081 2
OGLE0727 5870 1.30 4.00 -0.30 240 0.10 0.23 -0.305 0.146 0.162 79 -0.301 0.093 0.1495 12 3.99 -0.57980E-01 0.10744E+00 5.300 1.00036 0 0 0 0
OGLE0757 5533 1.10 4.00 -0.30 100 0.08 0.16 -0.278 0.113 0.074 85 -0.305 0.085 0.058 13 2.76 -0.32798E-01 -0.17888E-02 5.320 .94584 0 0 0 0
OGLE0770 5430 1.10 3.10 -0.30 73 0.05 0.11 -0.251 0.123 0.0515 104 -0.279 0.057 0.0385 16 3.06 -0.49726E-01 0.88953E-02 5.600 1.04355 -0.062 0.020 0.076 1
OGLE0787 5095 0.70 4.00 -0.30 69 0.09 0.35 -0.283 0.175 0.057 68 -0.303 0.066 0.042 8 1.71 -0.23184E-01 0.17831E+00 5.320 .93641 0 0 0 0
OGLE0798 5473 1.20 4.00 -0.20 83 0.08 0.26 -0.222 0.159 0.0605 97 -0.251 0.066 0.058 10 4.67 -0.58374E-01 0.14040E+00 5.320 .98134 0 0 0 0
OGLE0800 6062 0.70 3.40 -0.50 138 0.12 0.12 -0.474 0.130 0.081 100 -0.458 0.155 0.083 15 1.98 -0.25719E-01 -0.83836E-02 5.300 1.09674 0 0 0 0
OGLE0812 6290 0.70 2.60 -0.30 118 0.14 0.14 -0.256 0.129 0.0745 100 -0.282 0.182 0.052 18 2.16 -0.31125E-01 -0.18820E-02 5.620 1.08531 0.128 0.050 0.1 1
OGLE0819 5140 0.80 3.10 -0.20 55 0.07 0.17 -0.183 0.172 0.0475 101 -0.182 0.080 0.0465 11 0.36 -0.10849E-01 0.12566E-01 5.600 .97593 0.002 0.020 0.076 1
OGLE0821 5626 0.80 3.70 -0.30 89 0.08 0.42 -0.295 0.174 0.054 105 -0.325 0.067 0.043 12 6.05 -0.85406E-01 -0.46091E-02 5.600 1.08505 0.111 0.020 0.1025 1
OGLE0831 5428 1.20 3.50 -0.20 84 0.07 0.21 -0.218 0.169 0.045 103 -0.242 0.061 0.034 12 3.39 -0.47654E-01 -0.10746E-01 5.620 .98756 0.052 0.066 0.095 2
OGLE0844 6311 1.00 3.70 -0.20 141 0.12 0.17 -0.165 0.111 0.075 84 -0.143 0.120 0.0775 12 2.27 -0.34622E-01 0.75658E-02 5.300 1.01211 0 0 0 0
OGLE0847 5123 0.70 3.40 -0.30 81 0.06 0.15 -0.284 0.129 0.057 95 -0.329 0.068 0.019 13 2.86 -0.33196E-01 0.17877E-01 5.620 1.01208 -0.018 0.086 0.074 2
OGLE0848 5783 1.30 4.00 -0.30 141 0.09 0.21 -0.252 0.151 0.0945 80 -0.279 0.099 0.062 11 4.14 -0.52116E-01 0.10801E+00 5.300 1.00733 0 0 0 0
OGLE0888 5863 1.10 2.70 -0.20 87 0.13 0.12 -0.221 0.153 0.057 111 -0.205 0.119 0.0615 15 4.37 -0.53989E-01 -0.69700E-03 5.910 1.0921 0 0 0 0
OGLE0915 5672 1.40 3.10 -0.30 98 0.07 0.11 -0.312 0.120 0.0595 109 -0.298 0.070 0.0695 14 3.70 -0.38718E-01 0.90526E-02 5.620 1.05847 -0.071 0.008 0.1255 2
OGLE0936 6260 1.10 3.00 -0.30 79 0.12 0.17 -0.336 0.126 0.044 96 -0.325 0.150 0.0365 17 1.69 -0.39023E-01 0.16235E-01 5.320 1.06708 -8.69 0.000 0 0
OGLE0949 5809 1.20 3.90 -0.20 95 0.07 0.25 -0.222 0.149 0.0635 95 -0.255 0.080 0.037 11 3.41 -0.46042E-01 0.12030E-01 5.320 1.05179 0 0 0 0
OGLE0966 5164 0.50 4.00 -0.20 62 0.07 0.23 -0.243 0.146 0.0465 77 -0.258 0.058 0.0365 9 3.20 -0.55206E-01 0.14314E+00 5.600 1.01824 -0.091 0.020 0.0715 1
OGLE0969 5334 1.10 3.20 -0.20 62 0.07 0.21 -0.244 0.140 0.041 101 -0.232 0.071 0.0575 15 3.70 -0.46261E-01 -0.18362E-01 5.620 .98999 -0.022 0.025 0.092 2
OGLE0970 5784 0.90 3.00 -0.10 80 0.15 0.15 -0.093 0.157 0.0545 96 -0.072 0.149 0.0415 12 2.26 -0.37809E-01 -0.15854E-01 5.600 1.06820 0.084 0.030 0.0815 1
OGLE0975 5919 1.00 3.50 -0.30 129 0.10 0.25 -0.274 0.168 0.081 89 -0.288 0.108 0.058 13 2.72 -0.47139E-01 0.17651E-01 5.300 1.04916 0 0 0 0
OGLE0978 5501 1.10 4.00 -0.30 73 0.06 0.26 -0.278 0.155 0.045 94 -0.304 0.064 0.05 12 4.10 -0.53143E-01 -0.10473E-01 5.600 1.05549 -0.008 0.030 0.094 1
OGLE0986 5694 0.60 4.00 -0.20 132 0.17 0.16 -0.218 0.136 0.0875 75 -0.248 0.160 0.078 8 4.15 -0.54807E-01 0.15529E+00 5.320 .97977 0 0 0 0
OGLE0992 5696 0.80 4.00 -0.20 75 0.27 0.35 -0.193 0.125 0.052 75 -0.163 0.217 0.051 7 4.33 -0.51394E-01 0.20456E+00 5.600 1.04559 0.082 0.020 0.091 1
OGLE1001 5158 0.90 3.70 -0.20 67 0.10 0.16 -0.254 0.112 0.049 86 -0.267 0.099 0.0515 11 2.27 -0.30002E-01 -0.53718E-02 5.620 .83330 0.051 0.089 0.0915 2
OGLE1031 4995 0.80 3.90 -0.30 59 0.07 0.15 -0.299 0.122 0.043 77 -0.347 0.089 0.022 13 2.39 -0.33851E-01 0.10816E-01 5.600 1.01287 -0.149 0.030 0.0685 1
OGLE1058 6457 1.30 3.50 -0.20 262 0.14 0.17 -0.23 0.141 0.1535 72 -0.238 0.190 0.123 14 2.12 -0.37916E-01 -0.34472E-02 5.620 1.07071 0.452 0.108 0.244 2
OGLE1080 5392 1.20 4.00 -0.20 100 0.09 0.26 -0.197 0.187 0.0735 69 -0.232 0.081 0.0775 8 5.43 -0.69083E-01 0.40027E+00 5.300 .91330 0 0 0 0
OGLE1109 5637 1.30 3.30 -0.20 100 0.09 0.25 -0.217 0.226 0.065 109 -0.239 0.076 0.049 11 2.18 -0.82909E-01 -0.82484E-02 5.630 1.04641 -0.057 0.060 0.107 1
OGLE1112 5890 1.20 3.50 -0.20 143 0.09 0.16 -0.177 0.161 0.0915 86 -0.186 0.086 0.083 12 2.05 -0.39470E-01 0.11242E-01 5.620 1.00483 0.509 0.040 0.1515 1
OGLE1313 6476 1.70 3.30 -0.50 232 0.10 0.15 -0.49 0.123 0.132 86 -0.483 0.075 0.1085 11 4.01 -0.45801E-01 -0.36596E-02 5.620 1.05866 0.502 0.057 0.2045 2
OGLE1374 5793 1.30 4.00 -0.40 143 0.08 0.19 -0.389 0.107 0.0935 76 -0.412 0.084 0.0665 11 4.74 -0.49963E-01 0.47035E-01 5.620 1.06472 0.39 0.050 0.132 1
OGLE1389 5756 1.00 2.90 -0.30 86 0.12 0.11 -0.305 0.150 0.06 112 -0.337 0.117 0.0425 14 3.75 -0.44602E-01 0.30324E-01 5.600 1.05290 -0.164 0.040 0.0865 1
OGLE1411 5636 1.20 4.00 -0.30 88 0.07 0.22 -0.324 0.131 0.0615 95 -0.342 0.069 0.0615 12 3.46 -0.41363E-01 0.34133E-01 5.600 1.06452 -0.173 0.050 0.104 1
OGLE1417 5655 1.20 4.00 -0.20 74 0.06 0.21 -0.217 0.159 0.042 87 -0.255 0.057 0.0325 12 6.24 -0.74898E-01 -0.29213E-01 5.320 1.06541 0 0 0 0
OGLE1424 5932 1.20 3.10 -0.30 115 0.11 0.09 -0.299 0.105 0.075 96 -0.287 0.155 0.0805 14 2.04 -0.26230E-01 -0.30499E-02 5.320 1.05488 -8.69 0.000 0 0
OGLE1431 5781 1.20 3.90 -0.20 87 0.07 0.14 -0.199 0.087 0.061 82 -0.232 0.079 0.0435 12 3.09 -0.29155E-01 -0.14417E-03 5.620 1.07645 0.217 0.050 0.0865 1
OGLE1463 6128 1.20 3.00 -0.20 119 0.10 0.11 -0.17 0.140 0.077 90 -0.168 0.129 0.0645 16 1.82 -0.34633E-01 0.98901E-02 5.300 .98991 0 0 0 0
OGLE1466 5890 1.30 3.50 -0.30 108 0.11 0.12 -0.269 0.098 0.07 84 -0.282 0.125 0.0625 14 1.68 -0.23601E-01 0.80872E-02 5.600 1.04348 -0.01 0.040 0.113 1
OGLE1490 6144 1.30 2.80 -0.30 123 0.22 0.13 -0.34 0.130 0.063 113 -0.329 0.134 0.0725 17 3.76 -0.43396E-01 0.71293E-02 5.620 1.08943 -0.193 0.050 0.1325 1
OGLE1526 5608 1.30 3.90 -0.20 114 0.09 0.17 -0.191 0.155 0.075 94 -0.209 0.106 0.0615 13 2.08 -0.35790E-01 0.17208E-01 5.350 1.04377 0 0 0 0
OGLE1539 5119 1.00 4.00 -0.30 67 0.10 0.26 -0.312 0.152 0.058 86 -0.32 0.108 0.053 16 1.78 -0.32034E-01 -0.74251E-02 5.600 1.02569 0.101 0.020 0.094 1
OGLE1578 5790 1.20 3.80 -0.20 99 0.12 0.27 -0.161 0.157 0.0625 89 -0.2 0.146 0.0345 11 2.24 -0.31948E-01 0.12218E-01 5.320 1.04506 0 0 0 0
OGLE1587 5266 1.00 4.00 -0.20 63 0.05 0.30 -0.148 0.141 0.049 74 -0.18 0.023 0.0275 7 3.58 -0.44070E-01 0.16184E+00 5.320 1.00165 0 0 0 0
OGLE1616 5661 0.80 2.80 -0.10 70 0.16 0.09 -0.119 0.123 0.042 100 -0.13 0.166 0.054 16 2.55 -0.39879E-01 0.38985E-01 6.190 1.08567 0.069 0.030 0.0935 1
OGLE1637 5364 0.70 4.00 -0.20 98 0.07 0.52 -0.197 0.150 0.072 72 -0.194 0.048 0.076 6 3.05 -0.38520E-01 0.16458E+00 5.600 .89002 -0.121 0.040 0.1255 1
OGLE1641 6445 0.80 3.20 -0.20 152 0.12 0.12 -0.179 0.124 0.095 95 -0.202 0.157 0.075 15 2.02 -0.24986E-01 -0.18385E-01 5.300 1.08093 -8.69 0.000 0 0
OGLE1647 5977 1.20 3.40 -0.20 95 0.10 0.16 -0.187 0.134 0.068 96 -0.216 0.127 0.047 15 2.70 -0.33390E-01 -0.43884E-02 5.320 1.07916 0 0 0 0
OGLE1677 6436 0.70 2.80 -0.10 138 0.15 0.17 -0.053 0.164 0.089 90 -0.053 0.184 0.064 14 2.63 -0.51687E-01 0.10647E-01 6.210 1.03401 0.441 0.040 0.1285 1
OGLE1862 5402 1.00 3.50 -0.20 65 0.06 0.14 -0.248 0.120 0.0465 98 -0.275 0.058 0.0295 14 3.30 -0.38325E-01 0.51497E-02 5.600 1.00609 -0.054 0.030 0.075 1
OGLE1939 5692 1.20 3.10 -0.30 210 0.12 0.14 -0.266 0.186 0.1385 79 -0.275 0.140 0.113 13 1.59 -0.25301E-01 -0.20230E-01 5.320 .67364 0 0 0 0
OGLE1941 5541 1.40 3.90 -0.20 89 0.05 0.14 -0.208 0.121 0.06 100 -0.213 0.041 0.0525 12 2.36 -0.27217E-01 0.18717E-02 5.650 1.00496 0.108 0.086 0.1015 2
OGLE1994 6345 0.80 2.70 -0.30 137 0.12 0.09 -0.313 0.111 0.0785 96 -0.337 0.152 0.054 18 0.61 0.28228E-02 0.41739E-02 5.890 1.06100 0 0 0 0
OGLE2012 5914 1.10 2.70 -0.20 91 0.09 0.10 -0.194 0.120 0.0435 98 -0.193 0.083 0.046 12 2.92 -0.32409E-01 0.25714E-01 5.600 1.07803 -0.055 0.040 0.1015 1
OGLE2019 5120 0.90 4.00 0.00 66 0.15 0.42 -0.049 0.172 0.0555 59 -0.053 0.109 0.0515 7 1.28 -0.11004E-01 0.19411E+00 5.320 .89146 0 0 0 0
OGLE2043 5687 1.20 3.20 -0.30 99 0.07 0.15 -0.277 0.141 0.068 104 -0.283 0.074 0.0605 13 4.08 -0.44034E-01 0.13906E-01 5.320 1.05083 -8.69 0.000 0 0
