log(t(yr));M/Mo;logP;log(L/Lo);logTe
7.8050;5.5;0.2035;3.0274;3.8017
7.8050;5.5;0.2677;3.0016;3.7762
7.8783;5.5;0.5346;3.2946;3.7679
7.8785;5.5;0.5278;3.2968;3.7704
7.8787;5.5;0.5215;3.2979;3.7726
7.8789;5.5;0.5177;3.2987;3.7739
7.8791;5.5;0.5149;3.2997;3.7750
7.8793;5.5;0.5121;3.3007;3.7761
7.8795;5.5;0.5089;3.3020;3.7773
7.8797;5.5;0.5057;3.3031;3.7786
7.8799;5.5;0.5025;3.3041;3.7798
7.8801;5.5;0.4995;3.3052;3.7810
7.8803;5.5;0.4966;3.3062;3.7821
7.8806;5.5;0.4937;3.3072;3.7832
7.8808;5.5;0.4911;3.3082;3.7842
7.8810;5.5;0.4886;3.3092;3.7852
7.8812;5.5;0.4863;3.3101;3.7861
7.8814;5.5;0.4837;3.3112;3.7871
7.8816;5.5;0.4812;3.3121;3.7881
7.8818;5.5;0.4790;3.3130;3.7890
7.8820;5.5;0.4766;3.3140;3.7900
7.8822;5.5;0.4744;3.3149;3.7908
7.8824;5.5;0.4725;3.3157;3.7916
7.8826;5.5;0.4705;3.3167;3.7925
7.8828;5.5;0.4685;3.3176;3.7933
7.8830;5.5;0.4664;3.3184;3.7941
7.8832;5.5;0.4647;3.3194;3.7949
7.8920;5.5;0.4837;3.3404;3.7943
7.8921;5.5;0.4861;3.3405;3.7936
7.8923;5.5;0.4885;3.3402;3.7928
7.8924;5.5;0.4913;3.3404;3.7920
7.8925;5.5;0.4928;3.3412;3.7918
7.8926;5.5;0.4926;3.3417;3.7920
7.8927;5.5;0.4921;3.3421;3.7922
7.8928;5.5;0.4917;3.3423;3.7923
7.8929;5.5;0.4924;3.3417;3.7920
7.8930;5.5;0.4956;3.3407;3.7908
7.8931;5.5;0.5007;3.3399;3.7891
7.8933;5.5;0.5063;3.3400;3.7874
7.8934;5.5;0.5093;3.3411;3.7868
7.8935;5.5;0.5092;3.3419;3.7870
7.8936;5.5;0.5083;3.3423;3.7874
7.8937;5.5;0.5078;3.3425;3.7876
7.8938;5.5;0.5076;3.3427;3.7877
7.8939;5.5;0.5083;3.3419;3.7873
7.8940;5.5;0.5122;3.3406;3.7858
7.8941;5.5;0.5185;3.3395;3.7836
7.8942;5.5;0.5258;3.3391;3.7813
7.8944;5.5;0.5313;3.3399;3.7799
7.8945;5.5;0.5331;3.3408;3.7796
7.8946;5.5;0.5330;3.3415;3.7798
7.8947;5.5;0.5321;3.3420;3.7802
7.8948;5.5;0.5308;3.3426;3.7807
7.8948;5.5;0.5302;3.3425;3.7809
7.8949;5.5;0.5300;3.3419;3.7808
7.8950;5.5;0.5308;3.3411;3.7804
7.8950;5.5;0.5327;3.3404;3.7796
7.8951;5.5;0.5354;3.3396;3.7786
7.8951;5.5;0.5387;3.3389;3.7774
7.8952;5.5;0.5426;3.3383;3.7761
7.8952;5.5;0.5468;3.3377;3.7747
7.8953;5.5;0.5512;3.3372;3.7733
7.8953;5.5;0.5556;3.3370;3.7719
7.8954;5.5;0.5596;3.3372;3.7708
7.8954;5.5;0.5626;3.3377;3.7700
7.8955;5.5;0.5646;3.3381;3.7695
7.8955;5.5;0.5657;3.3385;3.7692
7.8956;5.5;0.5664;3.3387;3.7691
7.8956;5.5;0.5669;3.3388;3.7690
7.8957;5.5;0.5672;3.3389;3.7689
7.8957;5.5;0.5677;3.3389;3.7688
7.8958;5.5;0.5682;3.3388;3.7686
7.8958;5.5;0.5689;3.3386;3.7683
7.8959;5.5;0.5699;3.3379;3.7679
7.8959;5.5;0.5718;3.3371;3.7671
7.7239;6.0;0.3310;3.1438;3.7849
7.7867;6.0;0.6072;3.4141;3.7683
7.7869;6.0;0.5993;3.4157;3.7710
7.7871;6.0;0.5920;3.4174;3.7736
7.7873;6.0;0.5848;3.4190;3.7762
7.7875;6.0;0.5777;3.4207;3.7787
7.7878;6.0;0.5706;3.4223;3.7812
7.7880;6.0;0.5642;3.4238;3.7835
7.7882;6.0;0.5575;3.4255;3.7859
7.7884;6.0;0.5511;3.4269;3.7882
7.8100;6.0;0.6000;3.4798;3.7865
7.8101;6.0;0.6045;3.4793;3.7850
7.8101;6.0;0.6091;3.4788;3.7835
7.8102;6.0;0.6138;3.4782;3.7820
7.8102;6.0;0.6185;3.4776;3.7804
7.8102;6.0;0.6234;3.4771;3.7788
7.8103;6.0;0.6285;3.4765;3.7771
7.8103;6.0;0.6336;3.4758;3.7754
7.8104;6.0;0.6389;3.4751;3.7737
7.8104;6.0;0.6443;3.4744;3.7719
7.8105;6.0;0.6499;3.4737;3.7700
7.8105;6.0;0.6558;3.4729;3.7681
7.8106;6.0;0.6618;3.4722;3.7661
7.6509;6.5;0.3873;3.2730;3.7932
7.7060;6.5;0.6919;3.5253;3.7636
7.7061;6.5;0.6860;3.5262;3.7656
7.7062;6.5;0.6802;3.5271;3.7675
7.7062;6.5;0.6748;3.5279;3.7694
7.7063;6.5;0.6697;3.5286;3.7711
7.7064;6.5;0.6650;3.5294;3.7727
7.7065;6.5;0.6604;3.5303;3.7743
7.7066;6.5;0.6558;3.5311;3.7758
7.7066;6.5;0.6512;3.5319;3.7774
7.7067;6.5;0.6469;3.5326;3.7789
7.7068;6.5;0.6428;3.5332;3.7802
7.7069;6.5;0.6390;3.5339;3.7816
7.7069;6.5;0.6352;3.5346;3.7829
7.7070;6.5;0.6315;3.5353;3.7841
7.7343;6.5;0.6980;3.6017;3.7804
7.7344;6.5;0.7058;3.6007;3.7779
7.7344;6.5;0.7138;3.5998;3.7753
7.7345;6.5;0.7220;3.5988;3.7725
7.7345;6.5;0.7305;3.5978;3.7698
7.7346;6.5;0.7392;3.5967;3.7669
7.7346;6.5;0.7482;3.5955;3.7639
7.6371;7.0;0.7550;3.6421;3.7672
7.6372;7.0;0.7375;3.6436;3.7728
7.6373;7.0;0.7220;3.6449;3.7778
7.6669;7.0;0.7953;3.7109;3.7720
7.6670;7.0;0.8068;3.7095;3.7682
7.6670;7.0;0.8188;3.7080;3.7643
7.6671;7.0;0.8312;3.7065;3.7601
7.5276;7.5;0.5990;3.4690;3.7661
