log(t(yr));M/Mo;logP;log(L/Lo);logTe
7.9464;5.0;0.2180;2.7096;3.7647
7.9997;5.0;0.5054;2.8860;3.7258
7.9998;5.0;0.5040;2.8871;3.7266
7.9998;5.0;0.5025;2.8883;3.7274
7.9999;5.0;0.5010;2.8894;3.7282
7.9999;5.0;0.4995;2.8904;3.7289
8.0000;5.0;0.4979;2.8915;3.7297
8.0000;5.0;0.4964;2.8925;3.7305
8.0001;5.0;0.4949;2.8935;3.7312
8.0001;5.0;0.4933;2.8945;3.7320
8.0002;5.0;0.4918;2.8955;3.7327
8.0002;5.0;0.4903;2.8965;3.7335
8.0003;5.0;0.4888;2.8974;3.7342
8.0003;5.0;0.4872;2.8983;3.7350
8.0004;5.0;0.4857;2.8992;3.7357
8.0004;5.0;0.4842;2.9001;3.7364
8.0005;5.0;0.4827;2.9009;3.7371
8.0005;5.0;0.4812;2.9017;3.7378
8.0006;5.0;0.4797;2.9025;3.7385
8.0006;5.0;0.4783;2.9033;3.7391
8.0007;5.0;0.4769;2.9040;3.7398
8.0008;5.0;0.4740;2.9054;3.7411
8.0009;5.0;0.4713;2.9067;3.7423
8.0010;5.0;0.4688;2.9079;3.7434
8.0011;5.0;0.4664;2.9090;3.7445
8.0012;5.0;0.4643;2.9100;3.7454
8.0013;5.0;0.4624;2.9108;3.7462
8.0014;5.0;0.4607;2.9116;3.7470
8.0015;5.0;0.4593;2.9122;3.7476
8.0016;5.0;0.4581;2.9128;3.7481
8.0017;5.0;0.4570;2.9133;3.7486
8.0018;5.0;0.4562;2.9136;3.7489
8.0019;5.0;0.4557;2.9139;3.7492
8.0020;5.0;0.4552;2.9141;3.7494
8.0021;5.0;0.4550;2.9143;3.7495
8.0022;5.0;0.4550;2.9143;3.7495
8.0023;5.0;0.4551;2.9144;3.7495
8.0024;5.0;0.4554;2.9143;3.7494
8.0025;5.0;0.4558;2.9143;3.7492
8.0026;5.0;0.4564;2.9141;3.7490
8.0027;5.0;0.4571;2.9139;3.7488
8.0028;5.0;0.4579;2.9137;3.7484
8.0029;5.0;0.4588;2.9134;3.7481
8.0030;5.0;0.4598;2.9131;3.7477
8.0031;5.0;0.4609;2.9128;3.7472
8.0032;5.0;0.4622;2.9125;3.7468
8.0033;5.0;0.4634;2.9122;3.7463
8.0034;5.0;0.4647;2.9118;3.7458
8.0035;5.0;0.4661;2.9113;3.7452
8.0037;5.0;0.4675;2.9109;3.7447
8.0038;5.0;0.4689;2.9105;3.7441
8.0039;5.0;0.4704;2.9102;3.7436
8.0040;5.0;0.4718;2.9098;3.7430
8.0041;5.0;0.4732;2.9094;3.7425
8.0042;5.0;0.4746;2.9090;3.7419
8.0043;5.0;0.4761;2.9086;3.7414
8.0044;5.0;0.4775;2.9082;3.7408
8.0045;5.0;0.4789;2.9079;3.7403
8.0046;5.0;0.4803;2.9076;3.7398
8.0047;5.0;0.4816;2.9073;3.7393
8.0048;5.0;0.4829;2.9070;3.7388
8.0049;5.0;0.4841;2.9068;3.7383
8.0050;5.0;0.4853;2.9067;3.7379
8.0051;5.0;0.4864;2.9065;3.7375
8.0052;5.0;0.4875;2.9064;3.7372
8.0053;5.0;0.4885;2.9062;3.7368
8.0054;5.0;0.4894;2.9060;3.7365
8.0055;5.0;0.4904;2.9059;3.7361
8.0056;5.0;0.4913;2.9059;3.7358
8.0057;5.0;0.4921;2.9059;3.7356
8.0058;5.0;0.4929;2.9059;3.7354
8.0059;5.0;0.4936;2.9059;3.7351
8.0060;5.0;0.4943;2.9058;3.7349
8.0061;5.0;0.4950;2.9059;3.7347
8.0062;5.0;0.4956;2.9059;3.7345
8.0063;5.0;0.4962;2.9060;3.7344
8.0064;5.0;0.4968;2.9060;3.7342
8.0065;5.0;0.4974;2.9061;3.7340
8.0066;5.0;0.4979;2.9061;3.7339
8.0067;5.0;0.4984;2.9062;3.7337
8.0068;5.0;0.4989;2.9064;3.7336
8.0069;5.0;0.4994;2.9066;3.7336
8.0070;5.0;0.4998;2.9068;3.7335
8.0071;5.0;0.5001;2.9069;3.7334
8.0072;5.0;0.5005;2.9071;3.7333
8.0073;5.0;0.5008;2.9073;3.7333
8.0074;5.0;0.5012;2.9075;3.7333
8.0075;5.0;0.5014;2.9077;3.7332
