log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.2602;4.0;0.1448;2.5987;3.7768
8.2602;4.0;0.1628;2.5897;3.7686
8.2603;4.0;0.1794;2.5802;3.7606
8.2603;4.0;0.1938;2.5701;3.7532
8.2603;4.0;0.2059;2.5594;3.7463
8.2603;4.0;0.2141;2.5481;3.7405
8.1287;4.5;0.3124;2.7782;3.7637
8.1287;4.5;0.3346;2.7674;3.7536
8.1287;4.5;0.3537;2.7558;3.7443
8.1287;4.5;0.3693;2.7436;3.7359
8.1287;4.5;0.3792;2.7306;3.7291
8.0148;5.0;0.4575;2.9397;3.7539
8.0149;5.0;0.4833;2.9279;3.7423
8.0149;5.0;0.5047;2.9151;3.7320
8.0149;5.0;0.5212;2.9015;3.7229
8.0149;5.0;0.5286;2.8875;3.7165
8.0418;5.0;0.7605;3.0724;3.6971
8.0418;5.0;0.7601;3.0731;3.6974
8.0418;5.0;0.7598;3.0739;3.6978
8.0419;5.0;0.7595;3.0746;3.6981
8.0419;5.0;0.7592;3.0753;3.6984
8.0419;5.0;0.7589;3.0761;3.6987
8.0420;5.0;0.7586;3.0768;3.6990
8.0420;5.0;0.7582;3.0774;3.6993
8.0420;5.0;0.7579;3.0781;3.6996
8.0420;5.0;0.7576;3.0788;3.6999
8.0421;5.0;0.7573;3.0795;3.7002
8.0421;5.0;0.7570;3.0802;3.7005
8.0421;5.0;0.7567;3.0808;3.7008
8.0421;5.0;0.7564;3.0815;3.7010
8.0422;5.0;0.7560;3.0821;3.7013
8.0422;5.0;0.7557;3.0827;3.7016
8.0422;5.0;0.7554;3.0833;3.7019
8.0423;5.0;0.7550;3.0839;3.7021
8.0423;5.0;0.7547;3.0844;3.7024
8.0423;5.0;0.7543;3.0850;3.7027
8.0423;5.0;0.7540;3.0855;3.7029
8.0424;5.0;0.7536;3.0860;3.7032
8.0424;5.0;0.7533;3.0865;3.7034
8.0424;5.0;0.7530;3.0869;3.7037
8.0424;5.0;0.7526;3.0874;3.7039
8.0425;5.0;0.7522;3.0878;3.7042
8.0425;5.0;0.7518;3.0883;3.7044
8.0425;5.0;0.7514;3.0887;3.7047
8.0425;5.0;0.7509;3.0891;3.7050
8.0426;5.0;0.7504;3.0896;3.7052
8.0426;5.0;0.7499;3.0900;3.7055
8.0426;5.0;0.7494;3.0904;3.7058
8.0427;5.0;0.7489;3.0908;3.7061
8.0427;5.0;0.7484;3.0912;3.7063
8.0427;5.0;0.7479;3.0916;3.7066
8.0428;5.0;0.7469;3.0922;3.7071
8.0428;5.0;0.7459;3.0928;3.7076
8.0429;5.0;0.7450;3.0933;3.7080
8.0429;5.0;0.7442;3.0938;3.7084
8.0430;5.0;0.7433;3.0943;3.7088
8.0430;5.0;0.7426;3.0947;3.7091
8.0431;5.0;0.7419;3.0951;3.7095
8.0431;5.0;0.7413;3.0955;3.7098
8.0432;5.0;0.7408;3.0959;3.7101
8.0432;5.0;0.7403;3.0962;3.7103
8.0433;5.0;0.7398;3.0966;3.7106
8.0433;5.0;0.7394;3.0968;3.7108
8.0434;5.0;0.7389;3.0971;3.7110
8.0434;5.0;0.7386;3.0973;3.7111
8.0435;5.0;0.7384;3.0974;3.7113
8.0435;5.0;0.7382;3.0975;3.7114
8.0436;5.0;0.7381;3.0976;3.7114
8.0436;5.0;0.7380;3.0977;3.7115
8.0437;5.0;0.7380;3.0979;3.7115
8.0437;5.0;0.7381;3.0980;3.7115
8.0438;5.0;0.7382;3.0981;3.7115
8.0438;5.0;0.7382;3.0981;3.7115
8.0439;5.0;0.7384;3.0981;3.7115
8.0439;5.0;0.7386;3.0981;3.7114
8.0440;5.0;0.7388;3.0980;3.7113
8.0440;5.0;0.7391;3.0980;3.7112
8.0441;5.0;0.7394;3.0979;3.7111
8.0441;5.0;0.7398;3.0978;3.7109
8.0442;5.0;0.7402;3.0977;3.7108
8.0443;5.0;0.7407;3.0976;3.7106
8.0443;5.0;0.7412;3.0975;3.7104
8.0444;5.0;0.7416;3.0974;3.7102
8.0444;5.0;0.7421;3.0973;3.7100
8.0445;5.0;0.7427;3.0971;3.7098
8.0445;5.0;0.7432;3.0969;3.7096
8.0446;5.0;0.7438;3.0968;3.7094
8.0446;5.0;0.7444;3.0967;3.7092
8.0447;5.0;0.7450;3.0966;3.7089
8.0447;5.0;0.7456;3.0964;3.7087
8.0448;5.0;0.7462;3.0963;3.7085
8.0448;5.0;0.7468;3.0961;3.7082
8.0449;5.0;0.7473;3.0959;3.7080
8.0449;5.0;0.7480;3.0957;3.7078
8.0450;5.0;0.7486;3.0956;3.7075
8.0450;5.0;0.7492;3.0954;3.7073
8.0451;5.0;0.7498;3.0952;3.7071
8.0451;5.0;0.7504;3.0950;3.7068
8.0452;5.0;0.7510;3.0948;3.7066
8.0452;5.0;0.7516;3.0946;3.7063
8.0453;5.0;0.7522;3.0945;3.7061
8.0453;5.0;0.7528;3.0943;3.7059
8.0454;5.0;0.7534;3.0942;3.7056
8.0454;5.0;0.7539;3.0940;3.7054
8.0455;5.0;0.7544;3.0938;3.7052
8.0455;5.0;0.7550;3.0936;3.7050
8.0456;5.0;0.7555;3.0935;3.7048
8.0456;5.0;0.7561;3.0934;3.7046
8.0457;5.0;0.7566;3.0932;3.7044
8.0457;5.0;0.7570;3.0931;3.7042
8.0458;5.0;0.7575;3.0929;3.7040
8.0458;5.0;0.7579;3.0927;3.7038
8.0459;5.0;0.7583;3.0926;3.7036
8.0459;5.0;0.7586;3.0924;3.7035
8.0460;5.0;0.7590;3.0923;3.7033
8.0460;5.0;0.7594;3.0923;3.7032
8.0461;5.0;0.7598;3.0922;3.7030
8.0461;5.0;0.7601;3.0921;3.7029
8.0462;5.0;0.7604;3.0920;3.7028
8.0462;5.0;0.7607;3.0919;3.7027
8.0463;5.0;0.7611;3.0918;3.7025
8.0463;5.0;0.7614;3.0918;3.7024
8.0464;5.0;0.7618;3.0918;3.7023
8.0465;5.0;0.7620;3.0917;3.7022
8.0465;5.0;0.7623;3.0916;3.7021
8.0466;5.0;0.7626;3.0915;3.7020
8.0466;5.0;0.7629;3.0915;3.7019
8.0467;5.0;0.7632;3.0915;3.7018
8.0467;5.0;0.7636;3.0916;3.7017
8.0468;5.0;0.7638;3.0915;3.7016
8.0468;5.0;0.7640;3.0915;3.7015
8.0469;5.0;0.7642;3.0914;3.7014
8.0469;5.0;0.7645;3.0914;3.7013
8.0470;5.0;0.7648;3.0914;3.7013
8.0470;5.0;0.7651;3.0914;3.7012
8.0471;5.0;0.7653;3.0915;3.7011
8.0471;5.0;0.7656;3.0916;3.7010
8.0472;5.0;0.7659;3.0916;3.7010
8.0472;5.0;0.7660;3.0916;3.7009
8.0473;5.0;0.7663;3.0916;3.7008
8.0473;5.0;0.7665;3.0916;3.7008
8.0474;5.0;0.7667;3.0917;3.7007
8.0474;5.0;0.7670;3.0918;3.7007
8.0475;5.0;0.7673;3.0919;3.7006
8.0475;5.0;0.7675;3.0920;3.7006
8.0476;5.0;0.7676;3.0921;3.7006
8.0476;5.0;0.7678;3.0921;3.7005
8.0477;5.0;0.7680;3.0921;3.7005
8.0477;5.0;0.7682;3.0923;3.7004
8.0478;5.0;0.7685;3.0924;3.7004
8.0478;5.0;0.7687;3.0926;3.7004
8.0480;5.0;0.7691;3.0928;3.7003
8.0481;5.0;0.7697;3.0932;3.7002
8.0483;5.0;0.7702;3.0935;3.7002
8.0484;5.0;0.7706;3.0936;3.7001
8.0486;5.0;0.7713;3.0942;3.7000
8.0487;5.0;0.7717;3.0945;3.7000
8.0489;5.0;0.7722;3.0950;3.7000
