log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.2015;4.0;0.2165;2.9811;3.8124
8.2016;4.0;0.2201;2.9807;3.8113
8.2016;4.0;0.2238;2.9803;3.8102
8.2016;4.0;0.2275;2.9799;3.8091
8.2017;4.0;0.2314;2.9796;3.8080
8.2017;4.0;0.2353;2.9792;3.8068
8.2018;4.0;0.2393;2.9787;3.8056
8.2018;4.0;0.2434;2.9783;3.8044
8.2019;4.0;0.2476;2.9779;3.8031
8.2019;4.0;0.2518;2.9775;3.8019
8.2020;4.0;0.2560;2.9770;3.8006
8.2020;4.0;0.2604;2.9766;3.7993
8.2020;4.0;0.2648;2.9761;3.7980
8.2021;4.0;0.2693;2.9757;3.7967
8.2021;4.0;0.2738;2.9752;3.7953
8.2022;4.0;0.2784;2.9748;3.7940
8.2022;4.0;0.2829;2.9743;3.7926
8.2023;4.0;0.2875;2.9737;3.7912
8.2023;4.0;0.2923;2.9733;3.7898
8.2024;4.0;0.2969;2.9728;3.7884
8.2024;4.0;0.3015;2.9722;3.7870
8.2024;4.0;0.3063;2.9715;3.7856
8.2025;4.0;0.3115;2.9708;3.7840
8.2025;4.0;0.3169;2.9701;3.7823
8.2026;4.0;0.3224;2.9694;3.7807
8.2026;4.0;0.3281;2.9686;3.7790
8.2027;4.0;0.3339;2.9679;3.7772
8.2027;4.0;0.3398;2.9671;3.7754
8.2027;4.0;0.3460;2.9663;3.7735
8.0387;4.5;0.3619;3.0214;3.7732
8.0389;4.5;0.3565;3.0229;3.7750
8.0390;4.5;0.3508;3.0244;3.7769
8.0392;4.5;0.3450;3.0259;3.7788
8.0394;4.5;0.3391;3.0274;3.7807
8.0396;4.5;0.3336;3.0287;3.7826
8.0396;4.5;0.3320;3.0291;3.7831
8.0397;4.5;0.3305;3.0295;3.7836
8.0397;4.5;0.3289;3.0299;3.7841
8.0398;4.5;0.3274;3.0303;3.7846
8.0398;4.5;0.3259;3.0307;3.7851
8.0399;4.5;0.3243;3.0311;3.7856
8.0399;4.5;0.3228;3.0315;3.7861
8.0400;4.5;0.3213;3.0319;3.7866
8.0400;4.5;0.3198;3.0323;3.7871
8.0401;4.5;0.3183;3.0326;3.7876
8.0401;4.5;0.3169;3.0330;3.7881
8.0402;4.5;0.3154;3.0334;3.7886
8.0403;4.5;0.3139;3.0338;3.7891
8.0403;4.5;0.3125;3.0342;3.7896
8.0404;4.5;0.3110;3.0346;3.7901
8.0404;4.5;0.3096;3.0349;3.7905
8.0405;4.5;0.3082;3.0353;3.7910
8.0405;4.5;0.3068;3.0357;3.7915
8.0406;4.5;0.3053;3.0361;3.7920
8.0406;4.5;0.3038;3.0365;3.7925
8.0407;4.5;0.3023;3.0370;3.7930
8.0407;4.5;0.3008;3.0374;3.7935
8.0408;4.5;0.2993;3.0378;3.7940
8.0408;4.5;0.2978;3.0381;3.7945
8.0409;4.5;0.2963;3.0385;3.7950
8.0409;4.5;0.2949;3.0389;3.7954
8.0410;4.5;0.2935;3.0392;3.7959
8.0410;4.5;0.2921;3.0396;3.7964
8.0411;4.5;0.2907;3.0399;3.7968
8.0411;4.5;0.2893;3.0403;3.7973
8.0412;4.5;0.2880;3.0407;3.7977
8.0412;4.5;0.2866;3.0410;3.7982
8.0413;4.5;0.2853;3.0414;3.7987
8.0413;4.5;0.2839;3.0418;3.7991
8.0414;4.5;0.2825;3.0422;3.7996
8.0414;4.5;0.2811;3.0426;3.8000
8.0415;4.5;0.2797;3.0429;3.8005
8.0415;4.5;0.2784;3.0433;3.8010
8.0416;4.5;0.2770;3.0437;3.8014
8.0416;4.5;0.2756;3.0440;3.8019
8.0417;4.5;0.2743;3.0444;3.8023
8.0417;4.5;0.2730;3.0447;3.8028
8.0418;4.5;0.2717;3.0451;3.8032
8.0419;4.5;0.2703;3.0454;3.8036
8.0419;4.5;0.2690;3.0458;3.8041
8.0420;4.5;0.2677;3.0462;3.8045
8.0420;4.5;0.2664;3.0466;3.8050
8.0421;4.5;0.2650;3.0470;3.8054
8.0421;4.5;0.2636;3.0473;3.8059
8.0422;4.5;0.2623;3.0477;3.8064
8.0422;4.5;0.2609;3.0481;3.8068
8.0423;4.5;0.2595;3.0484;3.8073
8.0423;4.5;0.2582;3.0488;3.8077
8.0424;4.5;0.2568;3.0491;3.8082
8.0424;4.5;0.2555;3.0495;3.8086
8.0425;4.5;0.2543;3.0498;3.8090
8.0805;4.5;0.3659;3.1579;3.8021
8.0806;4.5;0.3745;3.1569;3.7995
8.0806;4.5;0.3834;3.1558;3.7968
8.0807;4.5;0.3926;3.1547;3.7940
8.0807;4.5;0.4022;3.1535;3.7911
8.0807;4.5;0.4122;3.1523;3.7881
8.0808;4.5;0.4225;3.1510;3.7850
8.0808;4.5;0.4330;3.1497;3.7818
8.0809;4.5;0.4439;3.1481;3.7785
8.0809;4.5;0.4554;3.1466;3.7750
8.0810;4.5;0.4675;3.1449;3.7713
7.8797;5.0;0.1899;2.9599;3.7998
7.9263;5.0;0.4577;3.1632;3.7708
7.9265;5.0;0.4491;3.1651;3.7735
7.9266;5.0;0.4408;3.1667;3.7762
7.9268;5.0;0.4329;3.1684;3.7787
7.9270;5.0;0.4253;3.1700;3.7812
7.9272;5.0;0.4177;3.1717;3.7836
7.9273;5.0;0.4101;3.1733;3.7861
7.9275;5.0;0.4027;3.1748;3.7885
7.9277;5.0;0.3955;3.1764;3.7908
7.9279;5.0;0.3886;3.1778;3.7930
7.9280;5.0;0.3820;3.1793;3.7951
7.9282;5.0;0.3756;3.1807;3.7972
7.9284;5.0;0.3694;3.1821;3.7992
7.9286;5.0;0.3631;3.1836;3.8013
7.9738;5.0;0.4904;3.3113;3.7943
7.9738;5.0;0.5076;3.3089;3.7891
7.9739;5.0;0.5261;3.3064;3.7834
7.9739;5.0;0.5458;3.3036;3.7774
7.9740;5.0;0.5669;3.3006;3.7709
7.7879;5.5;0.3227;3.0914;3.7856
7.8264;5.5;0.5422;3.2975;3.7705
7.8266;5.5;0.5279;3.2997;3.7749
7.8267;5.5;0.5150;3.3017;3.7789
7.8269;5.5;0.5030;3.3037;3.7826
7.8271;5.5;0.4916;3.3056;3.7862
7.8273;5.5;0.4811;3.3074;3.7895
7.8274;5.5;0.4710;3.3092;3.7927
7.8276;5.5;0.4612;3.3110;3.7957
7.8774;5.5;0.6085;3.4448;3.7846
7.8774;5.5;0.6411;3.4399;3.7746
7.7094;6.0;0.3828;3.2280;3.7931
