log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.0983;4.0;0.1402;2.5874;3.7644
8.0983;4.0;0.1549;2.5588;3.7520
8.1607;4.0;0.4450;2.8027;3.7320
8.1609;4.0;0.4446;2.8045;3.7327
8.1609;4.0;0.4444;2.8050;3.7329
8.1610;4.0;0.4443;2.8056;3.7330
8.1611;4.0;0.4442;2.8062;3.7332
8.1611;4.0;0.4441;2.8068;3.7334
8.1612;4.0;0.4439;2.8074;3.7337
8.1612;4.0;0.4438;2.8080;3.7339
8.1613;4.0;0.4436;2.8085;3.7341
8.1613;4.0;0.4434;2.8090;3.7343
8.1614;4.0;0.4432;2.8095;3.7345
8.1614;4.0;0.4430;2.8101;3.7347
8.1615;4.0;0.4428;2.8106;3.7349
8.1615;4.0;0.4426;2.8111;3.7351
8.1616;4.0;0.4424;2.8116;3.7353
8.1616;4.0;0.4423;2.8121;3.7355
8.1617;4.0;0.4421;2.8126;3.7357
8.1617;4.0;0.4419;2.8131;3.7359
8.1618;4.0;0.4417;2.8136;3.7361
8.1618;4.0;0.4415;2.8141;3.7363
8.1619;4.0;0.4413;2.8146;3.7365
8.1619;4.0;0.4410;2.8151;3.7367
8.1620;4.0;0.4408;2.8156;3.7369
8.1620;4.0;0.4406;2.8161;3.7371
8.1621;4.0;0.4404;2.8166;3.7373
8.1622;4.0;0.4402;2.8171;3.7375
8.1622;4.0;0.4399;2.8176;3.7377
8.1623;4.0;0.4397;2.8181;3.7379
8.1623;4.0;0.4395;2.8187;3.7381
8.1624;4.0;0.4392;2.8193;3.7384
8.1624;4.0;0.4390;2.8199;3.7386
8.1625;4.0;0.4386;2.8204;3.7389
8.1625;4.0;0.4383;2.8210;3.7391
8.1626;4.0;0.4379;2.8215;3.7394
8.1626;4.0;0.4376;2.8220;3.7396
8.1627;4.0;0.4372;2.8225;3.7399
8.1627;4.0;0.4368;2.8230;3.7401
8.1628;4.0;0.4364;2.8235;3.7404
8.1628;4.0;0.4360;2.8240;3.7407
8.1629;4.0;0.4355;2.8245;3.7409
8.1629;4.0;0.4351;2.8249;3.7412
8.1630;4.0;0.4347;2.8254;3.7414
8.1630;4.0;0.4343;2.8259;3.7417
8.1631;4.0;0.4338;2.8263;3.7419
8.1631;4.0;0.4334;2.8268;3.7422
8.1632;4.0;0.4330;2.8272;3.7425
8.1633;4.0;0.4325;2.8277;3.7427
8.1633;4.0;0.4321;2.8282;3.7430
8.1634;4.0;0.4316;2.8286;3.7432
8.1634;4.0;0.4312;2.8290;3.7435
8.1635;4.0;0.4307;2.8294;3.7438
8.1635;4.0;0.4302;2.8298;3.7440
8.1636;4.0;0.4297;2.8303;3.7443
8.1636;4.0;0.4293;2.8307;3.7445
8.1637;4.0;0.4288;2.8312;3.7448
8.1637;4.0;0.4283;2.8317;3.7451
8.1638;4.0;0.4278;2.8322;3.7454
8.1638;4.0;0.4272;2.8327;3.7457
8.1639;4.0;0.4267;2.8332;3.7460
8.1639;4.0;0.4261;2.8336;3.7463
8.1640;4.0;0.4254;2.8341;3.7466
8.1640;4.0;0.4248;2.8346;3.7470
8.1641;4.0;0.4241;2.8351;3.7473
8.1641;4.0;0.4235;2.8355;3.7476
8.1642;4.0;0.4228;2.8360;3.7479
8.1642;4.0;0.4222;2.8364;3.7482
8.1643;4.0;0.4216;2.8367;3.7485
8.1643;4.0;0.4209;2.8371;3.7488
8.1644;4.0;0.4203;2.8375;3.7491
8.1645;4.0;0.4197;2.8379;3.7494
8.1645;4.0;0.4191;2.8383;3.7497
8.1646;4.0;0.4185;2.8387;3.7500
8.1646;4.0;0.4179;2.8392;3.7503
8.1647;4.0;0.4173;2.8396;3.7506
8.1647;4.0;0.4166;2.8401;3.7510
8.1648;4.0;0.4159;2.8406;3.7513
8.1648;4.0;0.4152;2.8410;3.7516
8.1649;4.0;0.4145;2.8414;3.7519
8.1649;4.0;0.4138;2.8418;3.7523
8.1650;4.0;0.4131;2.8422;3.7526
8.1650;4.0;0.4124;2.8427;3.7529
8.1651;4.0;0.4117;2.8431;3.7533
8.1651;4.0;0.4109;2.8436;3.7537
8.1652;4.0;0.4101;2.8441;3.7540
8.1652;4.0;0.4093;2.8445;3.7544
8.1653;4.0;0.4085;2.8450;3.7548
8.1653;4.0;0.4077;2.8454;3.7551
8.1654;4.0;0.4069;2.8458;3.7555
8.1654;4.0;0.4061;2.8462;3.7558
8.1655;4.0;0.4053;2.8466;3.7562
8.1655;4.0;0.4045;2.8470;3.7565
8.1656;4.0;0.4037;2.8474;3.7569
8.1656;4.0;0.4030;2.8478;3.7572
8.1657;4.0;0.4022;2.8481;3.7575
8.1658;4.0;0.4014;2.8485;3.7579
8.1658;4.0;0.4007;2.8489;3.7582
8.1659;4.0;0.3999;2.8493;3.7585
8.1659;4.0;0.3992;2.8497;3.7589
8.1660;4.0;0.3984;2.8500;3.7592
8.1660;4.0;0.3976;2.8504;3.7595
8.1661;4.0;0.3969;2.8508;3.7599
8.1661;4.0;0.3961;2.8512;3.7602
8.1662;4.0;0.3946;2.8519;3.7609
8.1663;4.0;0.3930;2.8527;3.7616
8.1664;4.0;0.3914;2.8535;3.7623
8.1665;4.0;0.3897;2.8542;3.7630
8.1666;4.0;0.3881;2.8549;3.7637
8.1667;4.0;0.3865;2.8556;3.7643
8.1668;4.0;0.3848;2.8563;3.7650
8.1669;4.0;0.3831;2.8570;3.7658
8.1670;4.0;0.3814;2.8577;3.7664
8.1671;4.0;0.3798;2.8584;3.7671
8.1672;4.0;0.3781;2.8591;3.7678
8.1673;4.0;0.3763;2.8598;3.7686
8.1674;4.0;0.3745;2.8605;3.7693
8.1675;4.0;0.3728;2.8613;3.7700
8.1676;4.0;0.3709;2.8620;3.7708
8.1677;4.0;0.3692;2.8627;3.7715
8.1678;4.0;0.3674;2.8633;3.7722
8.1679;4.0;0.3656;2.8640;3.7729
8.1680;4.0;0.3639;2.8647;3.7737
8.1681;4.0;0.3621;2.8654;3.7744
8.1682;4.0;0.3603;2.8661;3.7751
8.1683;4.0;0.3586;2.8667;3.7758
8.2027;4.0;0.4576;2.9663;3.7735
8.2028;4.0;0.4631;2.9655;3.7716
8.2028;4.0;0.4688;2.9646;3.7697
8.2029;4.0;0.4745;2.9637;3.7677
8.2029;4.0;0.4804;2.9628;3.7657
8.2030;4.0;0.4864;2.9618;3.7636
8.2030;4.0;0.4924;2.9608;3.7615
8.2031;4.0;0.4985;2.9597;3.7594
8.2031;4.0;0.5045;2.9588;3.7573
8.2031;4.0;0.5102;2.9578;3.7553
8.2032;4.0;0.5156;2.9567;3.7534
8.2032;4.0;0.5208;2.9555;3.7515
8.2033;4.0;0.5259;2.9542;3.7496
8.2033;4.0;0.5310;2.9528;3.7477
8.2034;4.0;0.5361;2.9513;3.7457
8.2034;4.0;0.5411;2.9498;3.7438
8.2035;4.0;0.5461;2.9482;3.7419
8.2035;4.0;0.5508;2.9466;3.7400
8.2035;4.0;0.5554;2.9448;3.7381
8.2036;4.0;0.5597;2.9430;3.7363
8.2036;4.0;0.5637;2.9411;3.7345
8.2037;4.0;0.5675;2.9393;3.7329
8.2037;4.0;0.5706;2.9373;3.7314
8.2038;4.0;0.5732;2.9350;3.7300
8.2038;4.0;0.5756;2.9326;3.7286
8.2038;4.0;0.5777;2.9299;3.7272
8.2039;4.0;0.5796;2.9272;3.7259
8.2039;4.0;0.5814;2.9242;3.7245
7.9819;4.5;0.2778;2.7572;3.7579
7.9819;4.5;0.2959;2.7239;3.7432
8.0328;4.5;0.5791;2.9575;3.7225
8.0330;4.5;0.5782;2.9602;3.7235
8.0332;4.5;0.5773;2.9627;3.7245
8.0333;4.5;0.5762;2.9653;3.7255
8.0335;4.5;0.5751;2.9679;3.7266
8.0337;4.5;0.5738;2.9704;3.7277
8.0339;4.5;0.5723;2.9728;3.7288
8.0340;4.5;0.5707;2.9751;3.7299
8.0342;4.5;0.5690;2.9773;3.7310
8.0344;4.5;0.5671;2.9795;3.7322
8.0346;4.5;0.5649;2.9818;3.7335
8.0348;4.5;0.5624;2.9839;3.7348
8.0349;4.5;0.5597;2.9860;3.7362
8.0351;4.5;0.5566;2.9881;3.7377
8.0353;4.5;0.5532;2.9901;3.7393
8.0355;4.5;0.5497;2.9919;3.7409
8.0357;4.5;0.5463;2.9937;3.7424
8.0358;4.5;0.5428;2.9955;3.7439
8.0360;4.5;0.5391;2.9974;3.7456
8.0362;4.5;0.5351;2.9992;3.7473
8.0364;4.5;0.5310;3.0009;3.7490
