CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
LMC877 4890 0.70 4.00 -0.30 109 0.08 0.51 -0.296 0.151 0.089 65 -0.304 0.083 0.1035 9 0.54 0.48245E-03 0.66953E-01 5.620 .95891 0.034 0.113 0.1785 2
LMC879 5530 0.10 3.70 -0.40 67 0.12 0.13 -0.37 0.104 0.0415 83 -0.426 0.139 0.0275 10 0.72 0.16594E-03 -0.16062E-02 6.190 1.08808 -0.305 0.020 0.0915 1
LMC971 5500 0.60 2.60 -0.80 72 0.09 0.08 -0.78 0.093 0.0385 97 -0.76 0.087 0.0355 16 0.80 -0.54385E-02 0.77364E-02 5.300 1.04334 -8.69 0.000 0 0
LMC997 5590 0.40 3.20 -0.40 56 0.09 0.12 -0.358 0.090 0.0415 87 -0.364 0.111 0.039 15 0.35 -0.21623E-02 0.11758E-01 6.190 1.07194 -0.334 0.020 0.0715 1
LMC1013 5060 0.80 4.00 -0.30 164 0.10 0.63 -0.278 0.153 0.1195 63 -0.296 0.097 0.1185 9 1.30 0.33202E-02 0.15482E+00 5.320 1.05360 0 0 0 0
LMC1023 5630 0.20 3.40 -0.40 108 0.10 0.14 -0.45 0.094 0.0635 78 -0.436 0.132 0.064 14 0.46 0.18119E-02 -0.14555E-01 5.910 1.05101 0 0 0 0
LMC2260 5590 0.50 3.20 -0.40 86 0.11 0.11 -0.41 0.112 0.0585 94 -0.426 0.137 0.053 17 0.42 0.16495E-03 0.94018E-02 6.190 1.09650 -0.28 0.030 0.104 1
LMC2294 4960 0.00 3.60 -0.60 40 0.09 0.12 -0.526 0.092 0.035 83 -0.469 0.090 0.0045 14 1.44 -0.15250E-02 0.20645E-01 6.210 1.07000 -0.381 0.050 0.025 2
LMC2337 5370 0.80 3.70 -0.50 65 0.09 0.19 -0.514 0.118 0.043 82 -0.507 0.100 0.051 13 0.54 0.57705E-02 0.18419E-01 5.600 1.06648 -0.328 0.040 0.094 1
LMC2352 6200 0.70 3.10 -0.30 122 0.16 0.17 -0.328 0.116 0.0725 79 -0.355 0.191 0.042 18 0.51 -0.10380E-02 -0.30874E-02 6.210 1.03327 0.023 0.004 0.103 2
LMC2369 4870 0.10 4.00 -0.30 64 0.08 1.04 -0.374 0.130 0.047 59 -0.358 0.071 0.0385 7 2.08 0.52387E-02 0.22980E+00 5.600 1.06193 -0.294 0.020 0.072 1
LMC2405 5660 0.70 3.20 -0.50 122 0.09 0.16 -0.503 0.150 0.08 81 -0.516 0.099 0.0615 13 0.34 -0.97286E-03 0.41295E-02 5.620 1.06375 -0.167 0.040 0.122 1
LMC2580 5230 0.20 3.00 -0.40 49 0.08 0.08 -0.437 0.091 0.0265 89 -0.456 0.091 0.0235 15 0.69 -0.88007E-03 0.16951E-01 5.600 1.04437 -0.439 0.020 0.0665 1
LMC2733 5290 0.80 3.60 -0.50 38 0.08 0.12 -0.552 0.085 0.03 80 -0.558 0.087 0.0185 14 0.39 0.33278E-02 0.15444E-02 5.600 1.07677 -0.367 0.030 0.045 1
LMC2793 5230 0.20 3.20 -0.40 51 0.11 0.12 -0.437 0.106 0.0315 88 -0.45 0.102 0.0545 15 0.39 -0.25869E-02 -0.72961E-02 6.190 1.00260 -0.366 0.020 0.084 1
LMC2827 4840 0.00 4.00 -0.40 94 0.07 0.23 -0.403 0.120 0.079 68 -0.381 0.060 0.0185 7 1.15 -0.22799E-02 0.92825E-01 5.600 .90138 -0.291 0.010 0.072 1
LMC2836 5290 0.20 3.40 -0.50 47 0.07 0.12 -0.467 0.083 0.035 89 -0.459 0.073 0.0355 15 0.54 0.24433E-02 -0.19653E-01 6.190 1.07471 -0.397 0.020 0.067 1
LMC2864 5530 0.70 3.00 -0.50 92 0.10 0.09 -0.511 0.100 0.067 90 -0.512 0.104 0.0935 16 0.23 0.25762E-02 -0.84216E-02 5.600 .99882 -0.293 0.030 0.1215 1
LMC5497 4900 0.00 4.00 -0.50 65 0.13 0.23 -0.527 0.104 0.074 67 -0.322 0.156 -0.021 9 4.29 -0.40026E-02 0.16081E+00 6.190 .96723 -0.343 0.020 0.0195 1
LMC6093 5880 1.40 3.70 -0.40 87 0.15 0.20 -0.401 0.121 0.051 75 -0.405 0.129 0.055 9 0.22 -0.24329E-02 0.76018E-02 5.620 .99458 0.426 0.050 0.1015 1
LMC12452 5390 0.80 2.80 -0.40 42 0.07 0.06 -0.427 0.086 0.027 101 -0.457 0.087 0.0385 17 1.29 -0.30845E-02 0.21608E-01 5.620 1.08750 -0.328 0.008 0.063 2
LMC12700 5330 0.70 3.20 -0.40 36 0.08 0.11 -0.437 0.073 0.0275 77 -0.439 0.078 0.022 12 0.26 0.17261E-02 -0.66894E-02 5.600 1.02694 -0.431 0.020 0.046 1
