log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.1280;4.0;0.0624;2.5086;3.7683
8.0070;4.5;0.2011;2.6727;3.7599
7.9018;5.0;0.2970;2.8467;3.7688
7.9019;5.0;0.3383;2.8157;3.7473
7.9783;5.0;0.7127;3.0960;3.7115
7.9785;5.0;0.7124;3.0977;3.7121
7.9787;5.0;0.7120;3.0994;3.7127
7.9789;5.0;0.7115;3.1010;3.7133
7.9791;5.0;0.7111;3.1025;3.7139
7.9793;5.0;0.7107;3.1041;3.7144
7.9795;5.0;0.7102;3.1055;3.7150
7.9797;5.0;0.7098;3.1071;3.7156
7.9799;5.0;0.7092;3.1085;3.7161
7.9801;5.0;0.7087;3.1099;3.7167
7.9803;5.0;0.7081;3.1112;3.7173
7.9805;5.0;0.7075;3.1127;3.7178
7.9807;5.0;0.7067;3.1141;3.7185
7.9809;5.0;0.7058;3.1154;3.7192
7.9811;5.0;0.7048;3.1167;3.7198
7.9813;5.0;0.7039;3.1179;3.7204
7.9815;5.0;0.7029;3.1191;3.7211
7.9817;5.0;0.7019;3.1205;3.7218
7.9819;5.0;0.7007;3.1216;3.7225
7.9821;5.0;0.6997;3.1228;3.7231
7.9823;5.0;0.6986;3.1239;3.7238
7.9825;5.0;0.6975;3.1251;3.7244
7.9827;5.0;0.6963;3.1262;3.7251
7.9830;5.0;0.6953;3.1272;3.7257
7.9832;5.0;0.6944;3.1282;3.7263
7.9834;5.0;0.6935;3.1292;3.7268
7.9836;5.0;0.6926;3.1302;3.7274
7.9838;5.0;0.6917;3.1311;3.7279
7.9840;5.0;0.6910;3.1320;3.7284
7.9842;5.0;0.6902;3.1330;3.7289
7.9844;5.0;0.6894;3.1338;3.7294
7.9846;5.0;0.6887;3.1347;3.7298
7.9848;5.0;0.6881;3.1354;3.7302
7.9850;5.0;0.6877;3.1363;3.7306
7.9852;5.0;0.6869;3.1371;3.7311
7.9854;5.0;0.6865;3.1377;3.7314
7.9856;5.0;0.6862;3.1385;3.7317
7.9858;5.0;0.6860;3.1392;3.7319
7.9860;5.0;0.6855;3.1399;3.7323
7.9861;5.0;0.6854;3.1402;3.7324
7.9862;5.0;0.6854;3.1405;3.7325
7.9863;5.0;0.6854;3.1408;3.7326
7.9863;5.0;0.6854;3.1410;3.7326
7.9864;5.0;0.6854;3.1413;3.7327
7.9865;5.0;0.6855;3.1416;3.7328
7.9866;5.0;0.6855;3.1419;3.7329
7.9867;5.0;0.6854;3.1422;3.7330
7.9868;5.0;0.6854;3.1425;3.7330
7.9869;5.0;0.6855;3.1428;3.7331
7.9870;5.0;0.6854;3.1430;3.7332
7.9871;5.0;0.6854;3.1431;3.7332
7.9872;5.0;0.6857;3.1435;3.7332
7.9873;5.0;0.6858;3.1439;3.7333
7.9874;5.0;0.6857;3.1440;3.7334
7.9875;5.0;0.6858;3.1441;3.7334
7.9875;5.0;0.6862;3.1445;3.7334
7.9876;5.0;0.6862;3.1451;3.7335
7.9877;5.0;0.6859;3.1452;3.7337
7.9878;5.0;0.6859;3.1451;3.7337
7.9879;5.0;0.6863;3.1451;3.7335
7.9880;5.0;0.6870;3.1458;3.7335
7.9881;5.0;0.6869;3.1463;3.7337
7.9882;5.0;0.6865;3.1464;3.7338
7.9883;5.0;0.6866;3.1462;3.7337
7.9884;5.0;0.6872;3.1462;3.7336
7.9885;5.0;0.6880;3.1467;3.7334
7.9886;5.0;0.6882;3.1476;3.7336
7.9886;5.0;0.6876;3.1479;3.7339
7.9887;5.0;0.6873;3.1477;3.7340
7.9888;5.0;0.6876;3.1474;3.7338
7.9889;5.0;0.6885;3.1473;3.7335
7.9890;5.0;0.6896;3.1475;3.7332
7.9891;5.0;0.6904;3.1482;3.7332
7.9892;5.0;0.6903;3.1485;3.7333
7.9893;5.0;0.6902;3.1483;3.7332
7.9894;5.0;0.6907;3.1480;3.7330
7.9895;5.0;0.6919;3.1481;3.7327
7.9896;5.0;0.6929;3.1492;3.7327
7.9897;5.0;0.6924;3.1502;3.7331
7.9897;5.0;0.6914;3.1502;3.7334
7.9898;5.0;0.6910;3.1497;3.7334
7.9899;5.0;0.6916;3.1493;3.7331
7.9900;5.0;0.6928;3.1489;3.7326
7.9901;5.0;0.6944;3.1489;3.7321
7.9902;5.0;0.6959;3.1495;3.7318
7.9903;5.0;0.6965;3.1502;3.7318
7.9904;5.0;0.6963;3.1501;3.7319
7.9905;5.0;0.6966;3.1497;3.7316
7.9906;5.0;0.6976;3.1491;3.7312
7.9907;5.0;0.6993;3.1490;3.7307
7.9908;5.0;0.7009;3.1495;3.7303
7.9908;5.0;0.7017;3.1505;3.7303
7.9909;5.0;0.7014;3.1511;3.7306
7.9910;5.0;0.7008;3.1515;3.7309
7.9911;5.0;0.7003;3.1518;3.7311
7.9912;5.0;0.6999;3.1516;3.7312
7.9913;5.0;0.7001;3.1512;3.7310
7.9914;5.0;0.7009;3.1508;3.7306
7.9915;5.0;0.7023;3.1503;3.7301
7.9916;5.0;0.7041;3.1498;3.7294
7.9917;5.0;0.7060;3.1493;3.7286
7.9918;5.0;0.7081;3.1487;3.7279
7.9918;5.0;0.7103;3.1483;3.7270
7.9919;5.0;0.7124;3.1477;3.7262
7.9920;5.0;0.7146;3.1472;3.7254
7.9921;5.0;0.7168;3.1466;3.7246
7.9922;5.0;0.7190;3.1462;3.7238
7.9923;5.0;0.7210;3.1456;3.7230
7.9924;5.0;0.7230;3.1450;3.7222
7.9925;5.0;0.7250;3.1444;3.7214
7.9926;5.0;0.7270;3.1437;3.7206
7.9927;5.0;0.7289;3.1429;3.7198
7.9928;5.0;0.7308;3.1422;3.7190
7.9928;5.0;0.7327;3.1414;3.7182
7.9929;5.0;0.7346;3.1405;3.7174
7.9930;5.0;0.7364;3.1396;3.7166
7.9931;5.0;0.7381;3.1386;3.7158
7.9932;5.0;0.7397;3.1377;3.7150
7.9933;5.0;0.7412;3.1368;3.7143
7.9934;5.0;0.7419;3.1362;3.7139
7.9934;5.0;0.7426;3.1356;3.7135
7.9935;5.0;0.7434;3.1350;3.7131
7.9935;5.0;0.7441;3.1343;3.7127
7.9936;5.0;0.7448;3.1337;3.7123
7.9936;5.0;0.7454;3.1330;3.7119
7.9937;5.0;0.7461;3.1323;3.7115
7.9937;5.0;0.7468;3.1316;3.7111
7.9938;5.0;0.7475;3.1309;3.7107
7.9938;5.0;0.7481;3.1301;3.7103
7.9939;5.0;0.7488;3.1294;3.7099
7.9939;5.0;0.7494;3.1286;3.7095
7.9940;5.0;0.7501;3.1278;3.7090
7.8051;5.5;0.4414;2.9711;3.7498
7.8051;5.5;0.4662;2.9362;3.7323
7.8703;5.5;0.8287;3.2221;3.7017
7.8705;5.5;0.8273;3.2253;3.7030
7.8707;5.5;0.8259;3.2284;3.7043
7.8709;5.5;0.8245;3.2314;3.7056
7.8711;5.5;0.8228;3.2342;3.7069
7.8713;5.5;0.8208;3.2370;3.7083
7.8716;5.5;0.8186;3.2396;3.7098
7.8718;5.5;0.8162;3.2425;3.7113
7.8720;5.5;0.8132;3.2451;3.7130
7.8722;5.5;0.8098;3.2474;3.7147
7.8724;5.5;0.8061;3.2498;3.7165
7.8726;5.5;0.8019;3.2521;3.7184
7.8728;5.5;0.7973;3.2543;3.7205
7.8730;5.5;0.7929;3.2564;3.7224
7.8732;5.5;0.7885;3.2583;3.7243
7.8735;5.5;0.7840;3.2603;3.7262
7.8737;5.5;0.7792;3.2624;3.7283
7.8739;5.5;0.7740;3.2643;3.7304
7.8741;5.5;0.7692;3.2660;3.7324
7.8743;5.5;0.7644;3.2676;3.7343
7.8745;5.5;0.7598;3.2692;3.7362
7.8747;5.5;0.7551;3.2709;3.7381
7.8749;5.5;0.7501;3.2726;3.7401
7.8751;5.5;0.7451;3.2741;3.7421
7.8753;5.5;0.7403;3.2757;3.7440
7.8756;5.5;0.7351;3.2773;3.7461
7.8758;5.5;0.7303;3.2786;3.7479
7.8760;5.5;0.7259;3.2800;3.7497
7.8762;5.5;0.7215;3.2814;3.7514
7.8764;5.5;0.7169;3.2828;3.7532
7.8766;5.5;0.7122;3.2842;3.7551
7.8768;5.5;0.7075;3.2856;3.7569
7.8770;5.5;0.7032;3.2869;3.7586
