log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.2019;4.0;0.2486;2.7183;3.7705
8.2019;4.0;0.2718;2.7079;3.7605
8.2019;4.0;0.2904;2.6966;3.7515
8.2397;4.0;0.5847;2.9221;3.7253
8.2398;4.0;0.5825;2.9244;3.7266
8.2399;4.0;0.5798;2.9265;3.7281
8.2401;4.0;0.5768;2.9287;3.7296
8.2402;4.0;0.5734;2.9308;3.7312
8.2403;4.0;0.5697;2.9329;3.7330
8.2404;4.0;0.5657;2.9349;3.7348
8.2405;4.0;0.5615;2.9369;3.7366
8.2407;4.0;0.5571;2.9389;3.7385
8.2408;4.0;0.5525;2.9408;3.7405
8.2409;4.0;0.5478;2.9427;3.7425
8.2410;4.0;0.5429;2.9445;3.7445
8.2411;4.0;0.5380;2.9462;3.7465
8.2413;4.0;0.5330;2.9479;3.7485
8.2414;4.0;0.5278;2.9496;3.7506
8.2415;4.0;0.5225;2.9512;3.7526
8.2416;4.0;0.5172;2.9527;3.7547
8.2417;4.0;0.5119;2.9542;3.7568
8.2419;4.0;0.5066;2.9557;3.7588
8.2420;4.0;0.5014;2.9571;3.7608
8.2421;4.0;0.4964;2.9585;3.7627
8.2422;4.0;0.4916;2.9598;3.7646
8.2424;4.0;0.4870;2.9610;3.7663
8.2425;4.0;0.4827;2.9622;3.7680
8.2426;4.0;0.4787;2.9633;3.7696
8.2467;4.0;0.4880;2.9747;3.7699
8.2468;4.0;0.4911;2.9745;3.7689
8.2469;4.0;0.4941;2.9744;3.7680
8.2470;4.0;0.4972;2.9742;3.7670
8.2471;4.0;0.5003;2.9741;3.7660
8.2473;4.0;0.5036;2.9740;3.7649
8.2474;4.0;0.5067;2.9738;3.7639
8.2475;4.0;0.5098;2.9737;3.7630
8.2476;4.0;0.5128;2.9736;3.7620
8.2477;4.0;0.5158;2.9735;3.7611
8.2479;4.0;0.5188;2.9733;3.7601
8.2480;4.0;0.5219;2.9732;3.7591
8.2481;4.0;0.5249;2.9731;3.7581
8.2482;4.0;0.5263;2.9730;3.7577
8.2482;4.0;0.5276;2.9729;3.7573
8.2483;4.0;0.5290;2.9729;3.7568
8.2483;4.0;0.5303;2.9730;3.7565
8.2484;4.0;0.5315;2.9729;3.7561
8.2484;4.0;0.5328;2.9729;3.7557
8.2485;4.0;0.5340;2.9728;3.7553
8.2485;4.0;0.5352;2.9727;3.7549
8.2486;4.0;0.5366;2.9727;3.7544
8.2487;4.0;0.5379;2.9726;3.7540
8.2487;4.0;0.5392;2.9725;3.7536
8.2488;4.0;0.5406;2.9725;3.7532
8.2488;4.0;0.5418;2.9725;3.7528
8.2489;4.0;0.5430;2.9724;3.7524
8.2489;4.0;0.5443;2.9723;3.7520
8.2490;4.0;0.5457;2.9723;3.7516
8.2490;4.0;0.5468;2.9723;3.7512
8.2491;4.0;0.5481;2.9721;3.7508
8.2492;4.0;0.5494;2.9723;3.7504
8.2492;4.0;0.5504;2.9724;3.7501
8.2493;4.0;0.5513;2.9721;3.7498
8.2493;4.0;0.5525;2.9719;3.7494
8.2494;4.0;0.5539;2.9719;3.7489
8.2494;4.0;0.5552;2.9722;3.7486
8.2495;4.0;0.5560;2.9722;3.7484
8.2495;4.0;0.5568;2.9719;3.7480
8.2496;4.0;0.5580;2.9716;3.7476
8.2496;4.0;0.5596;2.9715;3.7471
8.2497;4.0;0.5610;2.9716;3.7466
8.2498;4.0;0.5621;2.9714;3.7463
8.2498;4.0;0.5635;2.9712;3.7458
8.2499;4.0;0.5650;2.9713;3.7454
8.2499;4.0;0.5662;2.9716;3.7451
8.2500;4.0;0.5668;2.9715;3.7449
8.2500;4.0;0.5675;2.9711;3.7445
8.2501;4.0;0.5688;2.9707;3.7440
8.2501;4.0;0.5705;2.9706;3.7434
8.2502;4.0;0.5723;2.9710;3.7430
8.2503;4.0;0.5732;2.9713;3.7428
8.2503;4.0;0.5736;2.9711;3.7426
8.2504;4.0;0.5744;2.9706;3.7423
8.2504;4.0;0.5757;2.9701;3.7417
8.2505;4.0;0.5774;2.9700;3.7412
8.2505;4.0;0.5792;2.9702;3.7407
8.2506;4.0;0.5804;2.9704;3.7403
8.2506;4.0;0.5813;2.9705;3.7401
8.2507;4.0;0.5820;2.9707;3.7399
8.2508;4.0;0.5826;2.9708;3.7398
8.2508;4.0;0.5830;2.9709;3.7397
8.2509;4.0;0.5832;2.9706;3.7396
8.2509;4.0;0.5838;2.9701;3.7392
8.2510;4.0;0.5851;2.9696;3.7387
8.2510;4.0;0.5867;2.9694;3.7381
8.2511;4.0;0.5884;2.9691;3.7376
8.2511;4.0;0.5900;2.9688;3.7370
8.2512;4.0;0.5916;2.9685;3.7364
8.2512;4.0;0.5935;2.9686;3.7358
8.2513;4.0;0.5949;2.9686;3.7354
8.2514;4.0;0.5959;2.9683;3.7350
8.2514;4.0;0.5972;2.9678;3.7345
8.2515;4.0;0.5986;2.9674;3.7339
8.2515;4.0;0.6003;2.9670;3.7333
8.2516;4.0;0.6020;2.9666;3.7327
8.2516;4.0;0.6037;2.9663;3.7321
8.2517;4.0;0.6053;2.9659;3.7314
8.2517;4.0;0.6070;2.9655;3.7308
8.2518;4.0;0.6087;2.9650;3.7302
8.2519;4.0;0.6104;2.9646;3.7295
8.2519;4.0;0.6121;2.9643;3.7289
8.2520;4.0;0.6137;2.9639;3.7283
8.2520;4.0;0.6152;2.9634;3.7277
8.2521;4.0;0.6168;2.9629;3.7271
8.2521;4.0;0.6183;2.9625;3.7265
8.2522;4.0;0.6197;2.9620;3.7259
8.2522;4.0;0.6212;2.9614;3.7253
8.2523;4.0;0.6226;2.9609;3.7247
8.2523;4.0;0.6241;2.9603;3.7241
8.2524;4.0;0.6254;2.9598;3.7235
8.2525;4.0;0.6267;2.9592;3.7230
8.2525;4.0;0.6280;2.9586;3.7224
8.2525;4.0;0.6287;2.9582;3.7221
8.0803;4.5;0.3806;2.9075;3.7712
8.0803;4.5;0.4113;2.8968;3.7587
8.0804;4.5;0.4363;2.8851;3.7477
8.0804;4.5;0.4553;2.8723;3.7383
8.0804;4.5;0.4658;2.8587;3.7312
8.1215;4.5;0.7772;3.1186;3.7089
8.1217;4.5;0.7765;3.1201;3.7096
8.1218;4.5;0.7755;3.1216;3.7103
8.1219;4.5;0.7746;3.1232;3.7111
8.1220;4.5;0.7735;3.1246;3.7118
8.1221;4.5;0.7724;3.1260;3.7126
8.1222;4.5;0.7711;3.1275;3.7134
8.1223;4.5;0.7696;3.1289;3.7142
8.1225;4.5;0.7678;3.1303;3.7152
8.1226;4.5;0.7659;3.1316;3.7161
8.1227;4.5;0.7640;3.1329;3.7171
8.1228;4.5;0.7619;3.1342;3.7181
8.1229;4.5;0.7598;3.1355;3.7191
8.1230;4.5;0.7574;3.1368;3.7202
8.1231;4.5;0.7550;3.1379;3.7213
8.1232;4.5;0.7526;3.1392;3.7224
8.1234;4.5;0.7502;3.1404;3.7234
8.1235;4.5;0.7476;3.1416;3.7246
8.1236;4.5;0.7448;3.1428;3.7258
8.1237;4.5;0.7423;3.1439;3.7269
8.1238;4.5;0.7393;3.1451;3.7281
8.1239;4.5;0.7376;3.1455;3.7287
8.1239;4.5;0.7364;3.1462;3.7293
8.1240;4.5;0.7348;3.1470;3.7300
8.1241;4.5;0.7331;3.1474;3.7307
8.1241;4.5;0.7317;3.1481;3.7313
8.1242;4.5;0.7301;3.1491;3.7321
8.1243;4.5;0.7280;3.1496;3.7328
8.1243;4.5;0.7262;3.1498;3.7335
8.1244;4.5;0.7250;3.1503;3.7340
8.1245;4.5;0.7238;3.1512;3.7346
8.1245;4.5;0.7219;3.1520;3.7354
8.1246;4.5;0.7198;3.1523;3.7361
8.1246;4.5;0.7184;3.1526;3.7367
8.1247;4.5;0.7172;3.1534;3.7373
8.1248;4.5;0.7154;3.1541;3.7380
8.1248;4.5;0.7136;3.1544;3.7386
8.1249;4.5;0.7123;3.1548;3.7391
8.1250;4.5;0.7111;3.1561;3.7399
8.1250;4.5;0.7083;3.1570;3.7410
8.1251;4.5;0.7052;3.1572;3.7420
8.1252;4.5;0.7032;3.1572;3.7426
8.1252;4.5;0.7023;3.1573;3.7429
8.1253;4.5;0.7019;3.1578;3.7432
8.1254;4.5;0.7010;3.1592;3.7439
8.1254;4.5;0.6981;3.1602;3.7450
8.1255;4.5;0.6950;3.1603;3.7460
8.1256;4.5;0.6931;3.1602;3.7466
8.1256;4.5;0.6925;3.1603;3.7468
8.1257;4.5;0.6923;3.1607;3.7470
8.1257;4.5;0.6919;3.1621;3.7475
8.1258;4.5;0.6888;3.1638;3.7489
8.1259;4.5;0.6842;3.1641;3.7504
8.1259;4.5;0.6811;3.1638;3.7513
8.1260;4.5;0.6800;3.1636;3.7516
8.1261;4.5;0.6800;3.1636;3.7516
8.1261;4.5;0.6805;3.1638;3.7515
8.1262;4.5;0.6809;3.1644;3.7515
8.1263;4.5;0.6803;3.1652;3.7519
8.1263;4.5;0.6789;3.1655;3.7524
8.1264;4.5;0.6781;3.1655;3.7527
8.1265;4.5;0.6779;3.1661;3.7529
8.1265;4.5;0.6768;3.1673;3.7536
8.1266;4.5;0.6741;3.1684;3.7547
8.1266;4.5;0.6706;3.1690;3.7560
8.1267;4.5;0.6676;3.1689;3.7569
8.1268;4.5;0.6665;3.1685;3.7571
8.1268;4.5;0.6668;3.1683;3.7570
8.1269;4.5;0.6679;3.1688;3.7568
8.1270;4.5;0.6679;3.1700;3.7571
8.1270;4.5;0.6659;3.1712;3.7580
8.1271;4.5;0.6626;3.1718;3.7592
8.1272;4.5;0.6599;3.1715;3.7600
8.1272;4.5;0.6592;3.1711;3.7601
8.1273;4.5;0.6599;3.1709;3.7598
8.1274;4.5;0.6614;3.1710;3.7594
8.1274;4.5;0.6627;3.1719;3.7592
8.1275;4.5;0.6620;3.1731;3.7598
8.1275;4.5;0.6595;3.1740;3.7608
8.1276;4.5;0.6567;3.1746;3.7618
8.1277;4.5;0.6539;3.1751;3.7628
8.1277;4.5;0.6513;3.1754;3.7637
8.1279;4.5;0.6503;3.1744;3.7638
8.1279;4.5;0.6521;3.1741;3.7631
8.1280;4.5;0.6545;3.1740;3.7623
8.1281;4.5;0.6570;3.1747;3.7618
8.1281;4.5;0.6574;3.1760;3.7620
8.1282;4.5;0.6557;3.1770;3.7628
8.1285;4.5;0.6531;3.1759;3.7633
8.1286;4.5;0.6563;3.1758;3.7623
8.1286;4.5;0.6595;3.1762;3.7614
8.1287;4.5;0.6610;3.1775;3.7613
8.1288;4.5;0.6599;3.1786;3.7620
8.1288;4.5;0.6574;3.1794;3.7630
8.1291;4.5;0.6539;3.1780;3.7636
8.1292;4.5;0.6563;3.1776;3.7628
8.1292;4.5;0.6589;3.1774;3.7620
8.1293;4.5;0.6615;3.1772;3.7611
8.1293;4.5;0.6643;3.1772;3.7603
8.1293;4.5;0.6668;3.1778;3.7596
8.1294;4.5;0.6684;3.1786;3.7594
8.1294;4.5;0.6688;3.1794;3.7595
8.1295;4.5;0.6681;3.1801;3.7599
8.1295;4.5;0.6668;3.1806;3.7604
8.1295;4.5;0.6653;3.1810;3.7610
8.1296;4.5;0.6636;3.1812;3.7616
8.1296;4.5;0.6620;3.1810;3.7620
8.1296;4.5;0.6611;3.1803;3.7621
8.1297;4.5;0.6616;3.1795;3.7617
8.1297;4.5;0.6632;3.1788;3.7610
8.1298;4.5;0.6658;3.1783;3.7601
8.1298;4.5;0.6687;3.1779;3.7591
8.1298;4.5;0.6718;3.1775;3.7580
8.1299;4.5;0.6751;3.1772;3.7569
8.1299;4.5;0.6785;3.1772;3.7559
8.1299;4.5;0.6817;3.1776;3.7550
8.1300;4.5;0.6841;3.1784;3.7545
8.1300;4.5;0.6850;3.1792;3.7544
8.1301;4.5;0.6849;3.1799;3.7547
8.1301;4.5;0.6839;3.1803;3.7551
8.1301;4.5;0.6826;3.1803;3.7555
8.1302;4.5;0.6817;3.1796;3.7556
8.1302;4.5;0.6820;3.1787;3.7552
8.1302;4.5;0.6837;3.1778;3.7544
8.1303;4.5;0.6865;3.1771;3.7534
8.1303;4.5;0.6899;3.1765;3.7522
8.1304;4.5;0.6937;3.1760;3.7508
8.1304;4.5;0.6977;3.1756;3.7495
8.1304;4.5;0.7019;3.1756;3.7482
8.1305;4.5;0.7056;3.1762;3.7473
8.1305;4.5;0.7079;3.1770;3.7468
8.1306;4.5;0.7089;3.1777;3.7467
8.1306;4.5;0.7090;3.1781;3.7467
8.1306;4.5;0.7086;3.1782;3.7469
8.1307;4.5;0.7083;3.1781;3.7470
8.1307;4.5;0.7084;3.1783;3.7470
8.1307;4.5;0.7086;3.1786;3.7470
8.1308;4.5;0.7084;3.1791;3.7472
8.1308;4.5;0.7078;3.1795;3.7475
8.1309;4.5;0.7069;3.1798;3.7479
8.1309;4.5;0.7059;3.1801;3.7483
8.1309;4.5;0.7047;3.1798;3.7486
8.1310;4.5;0.7039;3.1787;3.7485
8.1310;4.5;0.7050;3.1773;3.7478
8.1310;4.5;0.7079;3.1761;3.7465
8.1311;4.5;0.7120;3.1752;3.7450
8.1311;4.5;0.7167;3.1744;3.7433
8.1312;4.5;0.7216;3.1736;3.7416
8.1312;4.5;0.7265;3.1729;3.7399
8.1312;4.5;0.7314;3.1722;3.7382
8.1313;4.5;0.7361;3.1714;3.7365
8.1313;4.5;0.7407;3.1707;3.7349
8.1313;4.5;0.7452;3.1700;3.7333
8.1314;4.5;0.7499;3.1700;3.7319
8.1314;4.5;0.7542;3.1706;3.7307
8.1315;4.5;0.7572;3.1714;3.7301
8.1315;4.5;0.7588;3.1720;3.7297
8.1315;4.5;0.7594;3.1723;3.7296
8.1316;4.5;0.7597;3.1722;3.7295
8.1316;4.5;0.7602;3.1722;3.7293
8.1317;4.5;0.7609;3.1724;3.7292
8.1317;4.5;0.7613;3.1727;3.7292
8.1317;4.5;0.7614;3.1727;3.7291
8.1318;4.5;0.7614;3.1726;3.7291
8.1318;4.5;0.7610;3.1715;3.7289
8.1318;4.5;0.7615;3.1698;3.7283
8.1319;4.5;0.7636;3.1681;3.7272
8.1319;4.5;0.7668;3.1667;3.7257
