log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.0176;5.0;0.4088;2.9319;3.7688
8.0176;5.0;0.4349;2.9209;3.7576
8.0176;5.0;0.4612;2.9091;3.7461
8.0177;5.0;0.4852;2.8966;3.7351
8.0177;5.0;0.5048;2.8832;3.7252
7.9102;5.5;0.5617;3.0740;3.7521
7.9102;5.5;0.5917;3.0618;3.7393
7.9102;5.5;0.6189;3.0488;3.7271
7.9102;5.5;0.6414;3.0339;3.7159
7.9103;5.5;0.6549;3.0192;3.7076
7.8189;6.0;0.6705;3.2056;3.7468
7.8189;6.0;0.7042;3.1924;3.7326
7.8189;6.0;0.7367;3.1778;3.7184
7.8190;6.0;0.7603;3.1628;3.7068
7.8190;6.0;0.7698;3.1461;3.6991
7.8431;6.0;1.0213;3.3455;3.6779
7.8431;6.0;1.0207;3.3465;3.6784
7.8431;6.0;1.0200;3.3475;3.6789
7.8431;6.0;1.0193;3.3485;3.6794
7.8432;6.0;1.0184;3.3495;3.6799
7.8432;6.0;1.0174;3.3506;3.6805
7.8432;6.0;1.0164;3.3516;3.6812
7.8432;6.0;1.0152;3.3526;3.6818
7.8432;6.0;1.0140;3.3536;3.6825
7.8433;6.0;1.0127;3.3547;3.6832
7.8433;6.0;1.0112;3.3557;3.6839
7.8433;6.0;1.0097;3.3567;3.6847
7.8433;6.0;1.0080;3.3576;3.6855
7.8434;6.0;1.0062;3.3586;3.6863
7.8434;6.0;1.0042;3.3595;3.6872
7.8434;6.0;1.0023;3.3604;3.6880
7.8434;6.0;1.0002;3.3613;3.6889
7.8434;6.0;0.9981;3.3621;3.6898
7.8435;6.0;0.9960;3.3629;3.6907
7.8435;6.0;0.9938;3.3638;3.6916
7.8435;6.0;0.9914;3.3646;3.6926
7.8435;6.0;0.9890;3.3654;3.6936
7.8435;6.0;0.9866;3.3662;3.6945
7.8436;6.0;0.9840;3.3669;3.6955
7.8436;6.0;0.9814;3.3677;3.6966
7.8436;6.0;0.9788;3.3685;3.6976
7.8436;6.0;0.9764;3.3692;3.6986
7.8437;6.0;0.9740;3.3700;3.6995
7.8437;6.0;0.9716;3.3707;3.7005
7.8437;6.0;0.9691;3.3715;3.7015
7.8437;6.0;0.9666;3.3722;3.7025
7.8437;6.0;0.9640;3.3729;3.7034
7.8438;6.0;0.9615;3.3735;3.7044
7.8438;6.0;0.9589;3.3742;3.7054
7.8438;6.0;0.9563;3.3748;3.7064
7.8438;6.0;0.9538;3.3754;3.7073
7.8439;6.0;0.9512;3.3759;3.7083
7.8439;6.0;0.9487;3.3765;3.7092
7.8439;6.0;0.9462;3.3770;3.7101
7.8439;6.0;0.9438;3.3775;3.7110
7.8439;6.0;0.9413;3.3780;3.7119
7.8440;6.0;0.9389;3.3785;3.7128
7.8440;6.0;0.9366;3.3790;3.7137
7.8440;6.0;0.9344;3.3796;3.7145
7.8440;6.0;0.9321;3.3801;3.7154
7.8440;6.0;0.9299;3.3806;3.7162
7.8441;6.0;0.9276;3.3811;3.7170
7.8441;6.0;0.9255;3.3815;3.7178
7.8441;6.0;0.9234;3.3820;3.7186
7.8441;6.0;0.9213;3.3824;3.7194
7.8442;6.0;0.9194;3.3828;3.7201
7.8442;6.0;0.9174;3.3832;3.7208
7.8442;6.0;0.9155;3.3835;3.7215
7.8442;6.0;0.9136;3.3839;3.7222
7.8442;6.0;0.9118;3.3842;3.7228
7.8443;6.0;0.9101;3.3845;3.7235
7.8443;6.0;0.9085;3.3848;3.7241
7.8443;6.0;0.9069;3.3852;3.7247
7.8443;6.0;0.9053;3.3855;3.7252
7.8443;6.0;0.9038;3.3859;3.7258
7.8444;6.0;0.9023;3.3862;3.7263
7.8444;6.0;0.9009;3.3865;3.7269
7.8444;6.0;0.8994;3.3868;3.7274
7.8444;6.0;0.8980;3.3870;3.7279
7.8445;6.0;0.8967;3.3873;3.7284
7.8445;6.0;0.8954;3.3875;3.7289
7.8445;6.0;0.8926;3.3880;3.7299
7.8446;6.0;0.8902;3.3884;3.7308
7.8446;6.0;0.8880;3.3889;3.7316
7.8447;6.0;0.8860;3.3893;3.7323
7.8447;6.0;0.8842;3.3897;3.7330
7.8448;6.0;0.8825;3.3901;3.7336
7.8448;6.0;0.8810;3.3904;3.7341
7.8449;6.0;0.8797;3.3906;3.7346
7.8449;6.0;0.8786;3.3909;3.7350
7.8450;6.0;0.8776;3.3911;3.7354
7.8450;6.0;0.8768;3.3913;3.7357
7.8451;6.0;0.8760;3.3915;3.7360
7.8451;6.0;0.8755;3.3916;3.7362
7.8452;6.0;0.8750;3.3917;3.7364
7.8452;6.0;0.8748;3.3918;3.7365
7.8453;6.0;0.8746;3.3919;3.7366
7.8453;6.0;0.8746;3.3920;3.7366
7.8454;6.0;0.8746;3.3920;3.7366
7.8454;6.0;0.8748;3.3920;3.7365
7.8455;6.0;0.8751;3.3919;3.7364
7.8455;6.0;0.8756;3.3918;3.7362
7.8456;6.0;0.8762;3.3916;3.7360
7.8456;6.0;0.8769;3.3915;3.7357
7.8456;6.0;0.8778;3.3915;3.7355
7.8457;6.0;0.8787;3.3914;3.7351
7.8457;6.0;0.8796;3.3912;3.7348
7.8458;6.0;0.8807;3.3911;3.7345
7.8458;6.0;0.8817;3.3909;3.7341
7.8459;6.0;0.8829;3.3907;3.7337
7.8459;6.0;0.8841;3.3906;3.7332
7.8460;6.0;0.8854;3.3905;3.7328
