log(t(yr));M/Mo;logP;log(L/Lo);logTe
7.9427;5.0;0.0321;2.7716;3.7975
7.9428;5.0;0.0813;2.7416;3.7750
8.0090;5.0;0.2939;2.9790;3.7683
8.0092;5.0;0.2826;2.9845;3.7732
8.0094;5.0;0.2696;2.9890;3.7783
8.0097;5.0;0.2582;2.9930;3.7828
8.0099;5.0;0.2480;2.9970;3.7869
8.0101;5.0;0.2382;3.0006;3.7908
8.0214;5.0;0.2618;3.0230;3.7891
8.0216;5.0;0.2633;3.0234;3.7887
8.0219;5.0;0.2651;3.0233;3.7881
8.0221;5.0;0.2668;3.0237;3.7877
8.0223;5.0;0.2682;3.0237;3.7873
8.0225;5.0;0.2700;3.0239;3.7868
8.0228;5.0;0.2716;3.0241;3.7863
8.0230;5.0;0.2735;3.0241;3.7858
8.0232;5.0;0.2750;3.0245;3.7854
8.0234;5.0;0.2767;3.0244;3.7848
8.0237;5.0;0.2785;3.0246;3.7843
8.0239;5.0;0.2805;3.0244;3.7837
8.0241;5.0;0.2825;3.0247;3.7831
8.0243;5.0;0.2845;3.0245;3.7825
8.0246;5.0;0.2867;3.0248;3.7818
8.0248;5.0;0.2888;3.0244;3.7811
8.0250;5.0;0.2913;3.0247;3.7804
8.0252;5.0;0.2933;3.0243;3.7797
8.0255;5.0;0.2958;3.0249;3.7791
8.0257;5.0;0.2968;3.0248;3.7788
8.0259;5.0;0.2996;3.0245;3.7778
8.0261;5.0;0.3013;3.0251;3.7775
8.0264;5.0;0.3035;3.0242;3.7766
8.0266;5.0;0.3068;3.0249;3.7757
8.0267;5.0;0.3072;3.0254;3.7757
8.0268;5.0;0.3074;3.0250;3.7756
8.0269;5.0;0.3086;3.0244;3.7750
8.0271;5.0;0.3106;3.0238;3.7743
8.0272;5.0;0.3130;3.0235;3.7735
8.0273;5.0;0.3149;3.0250;3.7732
8.0274;5.0;0.3141;3.0268;3.7739
8.0275;5.0;0.3123;3.0268;3.7745
8.0276;5.0;0.3120;3.0259;3.7744
8.0278;5.0;0.3134;3.0250;3.7737
8.0279;5.0;0.3158;3.0243;3.7728
8.0280;5.0;0.3186;3.0237;3.7718
8.0281;5.0;0.3216;3.0230;3.7707
8.0282;5.0;0.3247;3.0226;3.7697
8.0283;5.0;0.3274;3.0225;3.7688
8.0285;5.0;0.3296;3.0224;3.7681
8.0286;5.0;0.3316;3.0221;3.7674
8.0287;5.0;0.3338;3.0230;3.7670
8.0288;5.0;0.3333;3.0274;3.7682
8.0289;5.0;0.3273;3.0298;3.7706
8.0290;5.0;0.3221;3.0293;3.7721
8.0292;5.0;0.3203;3.0279;3.7723
8.0293;5.0;0.3216;3.0264;3.7715
8.0294;5.0;0.3247;3.0251;3.7702
8.0295;5.0;0.3288;3.0239;3.7687
8.0296;5.0;0.3332;3.0230;3.7671
8.0297;5.0;0.3375;3.0222;3.7656
8.0299;5.0;0.3416;3.0215;3.7642
7.8379;5.5;0.1485;2.9028;3.7863
7.9065;5.5;0.4093;3.1341;3.7633
7.9068;5.5;0.3974;3.1385;3.7680
7.9071;5.5;0.3854;3.1427;3.7728
7.9073;5.5;0.3731;3.1474;3.7777
7.9281;5.5;0.4194;3.1991;3.7763
7.9282;5.5;0.4200;3.1998;3.7762
7.9283;5.5;0.4200;3.2005;3.7764
7.9287;5.5;0.4187;3.1975;3.7761
7.9288;5.5;0.4230;3.1957;3.7743
7.9289;5.5;0.4283;3.1942;3.7723
7.9289;5.5;0.4341;3.1928;3.7702
7.9290;5.5;0.4401;3.1916;3.7680
7.9291;5.5;0.4461;3.1909;3.7660
7.9292;5.5;0.4516;3.1913;3.7644
7.9292;5.5;0.4553;3.1921;3.7635
7.9293;5.5;0.4572;3.1927;3.7631
7.9294;5.5;0.4581;3.1930;3.7628
7.9295;5.5;0.4587;3.1930;3.7627
7.9295;5.5;0.4594;3.1930;3.7624
7.9296;5.5;0.4600;3.1927;3.7622
7.9297;5.5;0.4608;3.1913;3.7616
7.7494;6.0;0.2695;3.0155;3.7697
7.8168;6.0;0.5052;3.2712;3.7605
7.8171;6.0;0.4914;3.2751;3.7657
7.8173;6.0;0.4795;3.2785;3.7702
7.8376;6.0;0.5286;3.3270;3.7671
7.8377;6.0;0.5339;3.3259;3.7652
7.8377;6.0;0.5393;3.3247;3.7632
7.8378;6.0;0.5448;3.3235;3.7612
