log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.1873;4.0;-0.0377;2.4148;3.7809
8.1873;4.0;-0.0134;2.3867;3.7652
8.0567;4.5;0.1179;2.5623;3.7624
8.0567;4.5;0.1380;2.5278;3.7462
8.1149;4.5;0.3880;2.7363;3.7279
8.1149;4.5;0.3876;2.7376;3.7284
8.1150;4.5;0.3872;2.7388;3.7289
8.1150;4.5;0.3868;2.7400;3.7294
8.1151;4.5;0.3864;2.7412;3.7299
8.1152;4.5;0.3858;2.7424;3.7304
8.1152;4.5;0.3851;2.7436;3.7309
8.1153;4.5;0.3843;2.7447;3.7315
8.1153;4.5;0.3834;2.7458;3.7321
8.1154;4.5;0.3825;2.7469;3.7327
8.1154;4.5;0.3816;2.7479;3.7333
8.1155;4.5;0.3807;2.7489;3.7338
8.1155;4.5;0.3797;2.7498;3.7344
8.1156;4.5;0.3787;2.7508;3.7350
8.1156;4.5;0.3778;2.7517;3.7356
8.1157;4.5;0.3768;2.7526;3.7361
8.1158;4.5;0.3759;2.7535;3.7367
8.1158;4.5;0.3749;2.7544;3.7372
8.1159;4.5;0.3740;2.7552;3.7378
8.1159;4.5;0.3730;2.7561;3.7383
8.1160;4.5;0.3720;2.7569;3.7389
8.1160;4.5;0.3711;2.7577;3.7394
8.1161;4.5;0.3701;2.7585;3.7399
8.1161;4.5;0.3692;2.7592;3.7404
8.1162;4.5;0.3683;2.7599;3.7409
8.1162;4.5;0.3674;2.7607;3.7414
8.1163;4.5;0.3657;2.7620;3.7423
8.1165;4.5;0.3640;2.7632;3.7432
8.1166;4.5;0.3625;2.7644;3.7440
8.1167;4.5;0.3609;2.7655;3.7448
8.1168;4.5;0.3595;2.7666;3.7456
8.1169;4.5;0.3582;2.7675;3.7462
8.1170;4.5;0.3570;2.7683;3.7469
8.1171;4.5;0.3558;2.7690;3.7474
8.1172;4.5;0.3549;2.7696;3.7479
8.1173;4.5;0.3541;2.7702;3.7483
8.1174;4.5;0.3534;2.7707;3.7486
8.1175;4.5;0.3529;2.7711;3.7489
8.1176;4.5;0.3525;2.7714;3.7492
8.1177;4.5;0.3522;2.7717;3.7493
8.1178;4.5;0.3520;2.7719;3.7495
8.1179;4.5;0.3520;2.7721;3.7495
8.1180;4.5;0.3520;2.7723;3.7496
8.1181;4.5;0.3521;2.7724;3.7495
8.1182;4.5;0.3523;2.7724;3.7495
8.1183;4.5;0.3526;2.7724;3.7494
8.1185;4.5;0.3530;2.7724;3.7493
8.1186;4.5;0.3535;2.7723;3.7491
8.1187;4.5;0.3541;2.7723;3.7489
8.1188;4.5;0.3546;2.7722;3.7487
8.1189;4.5;0.3553;2.7721;3.7485
8.1190;4.5;0.3559;2.7719;3.7482
8.1191;4.5;0.3566;2.7717;3.7480
8.1192;4.5;0.3574;2.7715;3.7477
8.1193;4.5;0.3582;2.7714;3.7474
8.1194;4.5;0.3590;2.7713;3.7471
8.1195;4.5;0.3598;2.7711;3.7468
8.1196;4.5;0.3606;2.7709;3.7465
8.1197;4.5;0.3615;2.7707;3.7461
8.1198;4.5;0.3623;2.7705;3.7458
8.1199;4.5;0.3632;2.7702;3.7455
8.1200;4.5;0.3641;2.7699;3.7451
8.1201;4.5;0.3650;2.7697;3.7447
8.1202;4.5;0.3659;2.7695;3.7444
8.1203;4.5;0.3669;2.7693;3.7440
8.1204;4.5;0.3678;2.7691;3.7437
8.1205;4.5;0.3687;2.7689;3.7434
8.1206;4.5;0.3695;2.7688;3.7431
8.1208;4.5;0.3703;2.7687;3.7428
8.1209;4.5;0.3711;2.7685;3.7425
8.1210;4.5;0.3719;2.7684;3.7422
8.1211;4.5;0.3727;2.7683;3.7419
8.1212;4.5;0.3735;2.7682;3.7417
8.1213;4.5;0.3742;2.7681;3.7414
8.1214;4.5;0.3749;2.7680;3.7412
8.1215;4.5;0.3756;2.7680;3.7409
8.1216;4.5;0.3763;2.7680;3.7407
8.1217;4.5;0.3768;2.7680;3.7405
8.1218;4.5;0.3775;2.7680;3.7404
8.1219;4.5;0.3781;2.7681;3.7402
8.1220;4.5;0.3786;2.7681;3.7400
8.1221;4.5;0.3791;2.7683;3.7399
8.1222;4.5;0.3796;2.7683;3.7398
8.1223;4.5;0.3800;2.7684;3.7397
8.1224;4.5;0.3805;2.7685;3.7396
8.1225;4.5;0.3809;2.7686;3.7395
8.1226;4.5;0.3813;2.7687;3.7394
8.1227;4.5;0.3817;2.7689;3.7393
8.1228;4.5;0.3821;2.7691;3.7392
8.1229;4.5;0.3824;2.7694;3.7392
8.1230;4.5;0.3827;2.7696;3.7392
8.1231;4.5;0.3829;2.7698;3.7391
8.1233;4.5;0.3832;2.7699;3.7391
8.1234;4.5;0.3835;2.7701;3.7391
8.1235;4.5;0.3838;2.7702;3.7390
8.1236;4.5;0.3841;2.7704;3.7390
8.1237;4.5;0.3844;2.7705;3.7389
8.1238;4.5;0.3847;2.7708;3.7389
8.1239;4.5;0.3850;2.7710;3.7389
8.1240;4.5;0.3853;2.7712;3.7388
8.1241;4.5;0.3855;2.7714;3.7388
8.1242;4.5;0.3857;2.7716;3.7388
8.1243;4.5;0.3860;2.7718;3.7388
8.1244;4.5;0.3862;2.7720;3.7388
8.1245;4.5;0.3865;2.7723;3.7388
8.1246;4.5;0.3867;2.7725;3.7388
8.1247;4.5;0.3869;2.7727;3.7388
8.1248;4.5;0.3872;2.7730;3.7388
8.1249;4.5;0.3874;2.7733;3.7388
8.1250;4.5;0.3875;2.7736;3.7388
8.1251;4.5;0.3877;2.7738;3.7388
8.1252;4.5;0.3878;2.7741;3.7388
8.1253;4.5;0.3880;2.7743;3.7389
8.1254;4.5;0.3882;2.7745;3.7389
8.1255;4.5;0.3884;2.7747;3.7389
8.1256;4.5;0.3886;2.7750;3.7389
8.1257;4.5;0.3888;2.7752;3.7389
8.1258;4.5;0.3890;2.7754;3.7389
8.1259;4.5;0.3892;2.7756;3.7389
8.1260;4.5;0.3894;2.7759;3.7389
8.1261;4.5;0.3896;2.7761;3.7389
8.1262;4.5;0.3898;2.7763;3.7389
8.1264;4.5;0.3900;2.7765;3.7389
8.1265;4.5;0.3902;2.7767;3.7389
8.1266;4.5;0.3905;2.7769;3.7388
8.1267;4.5;0.3907;2.7771;3.7388
8.1269;4.5;0.3914;2.7776;3.7388
8.1271;4.5;0.3919;2.7781;3.7387
8.1274;4.5;0.3924;2.7785;3.7387
8.1276;4.5;0.3930;2.7789;3.7386
8.1279;4.5;0.3937;2.7794;3.7386
8.1281;4.5;0.3942;2.7799;3.7385
8.1283;4.5;0.3947;2.7804;3.7385
8.1286;4.5;0.3954;2.7808;3.7384
8.1288;4.5;0.3960;2.7814;3.7384
8.1291;4.5;0.3965;2.7817;3.7383
8.1293;4.5;0.3971;2.7822;3.7383
8.1295;4.5;0.3978;2.7825;3.7382
8.1298;4.5;0.3985;2.7831;3.7381
8.1300;4.5;0.3990;2.7835;3.7381
8.1303;4.5;0.3996;2.7839;3.7380
8.1305;4.5;0.4003;2.7843;3.7379
8.1307;4.5;0.4010;2.7846;3.7378
8.1310;4.5;0.4017;2.7852;3.7377
8.1312;4.5;0.4023;2.7855;3.7376
8.1315;4.5;0.4030;2.7858;3.7375
8.1317;4.5;0.4037;2.7862;3.7374
8.1319;4.5;0.4045;2.7866;3.7372
8.1322;4.5;0.4052;2.7870;3.7372
8.1324;4.5;0.4058;2.7873;3.7370
8.1326;4.5;0.4066;2.7877;3.7369
8.1329;4.5;0.4074;2.7881;3.7368
8.1331;4.5;0.4080;2.7885;3.7367
8.1334;4.5;0.4086;2.7888;3.7366
8.1336;4.5;0.4094;2.7891;3.7364
8.1338;4.5;0.4102;2.7894;3.7363
8.1341;4.5;0.4110;2.7897;3.7361
8.1343;4.5;0.4119;2.7902;3.7360
8.1345;4.5;0.4125;2.7905;3.7358
8.1348;4.5;0.4133;2.7908;3.7357
8.1350;4.5;0.4141;2.7910;3.7355
8.1353;4.5;0.4149;2.7913;3.7353
8.1355;4.5;0.4158;2.7917;3.7352
8.1357;4.5;0.4165;2.7919;3.7350
8.1360;4.5;0.4174;2.7921;3.7348
8.1362;4.5;0.4182;2.7924;3.7346
8.1364;4.5;0.4190;2.7928;3.7345
8.1367;4.5;0.4198;2.7931;3.7343
8.1369;4.5;0.4207;2.7932;3.7341
8.1371;4.5;0.4216;2.7935;3.7339
8.1374;4.5;0.4225;2.7937;3.7336
8.1376;4.5;0.4234;2.7939;3.7334
8.1378;4.5;0.4242;2.7943;3.7333
8.1381;4.5;0.4250;2.7945;3.7331
8.1383;4.5;0.4259;2.7946;3.7328
8.1385;4.5;0.4268;2.7946;3.7326
8.1388;4.5;0.4279;2.7949;3.7323
8.1390;4.5;0.4288;2.7952;3.7321
8.1393;4.5;0.4297;2.7952;3.7318
8.1395;4.5;0.4306;2.7954;3.7316
8.1397;4.5;0.4316;2.7954;3.7313
8.1400;4.5;0.4327;2.7956;3.7310
8.1402;4.5;0.4337;2.7958;3.7307
8.1404;4.5;0.4346;2.7959;3.7305
8.1407;4.5;0.4355;2.7960;3.7302
8.1409;4.5;0.4365;2.7960;3.7299
8.1411;4.5;0.4375;2.7961;3.7296
8.1414;4.5;0.4386;2.7963;3.7293
8.1416;4.5;0.4395;2.7963;3.7291
8.1418;4.5;0.4404;2.7963;3.7288
8.1421;4.5;0.4414;2.7963;3.7285
8.1423;4.5;0.4425;2.7962;3.7281
8.1425;4.5;0.4436;2.7962;3.7278
8.1427;4.5;0.4447;2.7962;3.7274
8.1430;4.5;0.4456;2.7963;3.7271
8.1432;4.5;0.4466;2.7963;3.7268
8.1434;4.5;0.4476;2.7961;3.7265
8.1437;4.5;0.4487;2.7959;3.7261
8.1439;4.5;0.4497;2.7959;3.7258
8.1441;4.5;0.4506;2.7957;3.7254
8.1444;4.5;0.4516;2.7957;3.7251
8.1446;4.5;0.4523;2.7955;3.7248
8.1448;4.5;0.4533;2.7955;3.7245
8.1451;4.5;0.4539;2.7950;3.7242
8.1453;4.5;0.4549;2.7948;3.7238
8.1455;4.5;0.4560;2.7948;3.7235
8.1457;4.5;0.4564;2.7948;3.7233
8.1458;4.5;0.4566;2.7944;3.7232
8.1459;4.5;0.4571;2.7943;3.7230
7.9429;5.0;0.2491;2.7077;3.7523
7.9429;5.0;0.2690;2.6698;3.7352
8.0053;5.0;0.5542;2.9051;3.7136
8.0054;5.0;0.5537;2.9071;3.7143
8.0055;5.0;0.5532;2.9091;3.7151
8.0056;5.0;0.5527;2.9112;3.7158
8.0057;5.0;0.5521;2.9132;3.7166
8.0058;5.0;0.5515;2.9153;3.7174
8.0059;5.0;0.5508;2.9173;3.7182
8.0060;5.0;0.5499;2.9194;3.7191
8.0061;5.0;0.5483;2.9214;3.7201
8.0062;5.0;0.5466;2.9234;3.7212
8.0063;5.0;0.5447;2.9254;3.7224
8.0064;5.0;0.5427;2.9274;3.7236
8.0065;5.0;0.5404;2.9293;3.7249
8.0066;5.0;0.5381;2.9313;3.7262
8.0067;5.0;0.5357;2.9332;3.7275
8.0067;5.0;0.5331;2.9352;3.7289
8.0068;5.0;0.5305;2.9372;3.7303
8.0069;5.0;0.5277;2.9391;3.7317
8.0070;5.0;0.5248;2.9410;3.7331
8.0071;5.0;0.5219;2.9430;3.7346
8.0072;5.0;0.5188;2.9449;3.7361
8.0073;5.0;0.5156;2.9468;3.7377
8.0074;5.0;0.5123;2.9487;3.7393
8.0075;5.0;0.5090;2.9506;3.7409
8.0076;5.0;0.5054;2.9525;3.7425
8.0077;5.0;0.5018;2.9544;3.7442
8.0078;5.0;0.4980;2.9563;3.7459
8.0079;5.0;0.4941;2.9581;3.7477
8.0080;5.0;0.4902;2.9600;3.7495
8.0081;5.0;0.4861;2.9619;3.7513
8.0082;5.0;0.4821;2.9638;3.7531
8.0083;5.0;0.4779;2.9657;3.7549
8.0085;5.0;0.4675;2.9702;3.7595
8.0306;5.0;0.5189;3.0187;3.7574
8.0307;5.0;0.5212;3.0184;3.7565
8.0308;5.0;0.5235;3.0181;3.7558
8.0309;5.0;0.5255;3.0177;3.7550
8.0310;5.0;0.5278;3.0174;3.7542
8.0311;5.0;0.5300;3.0177;3.7536
8.0313;5.0;0.5312;3.0181;3.7533
8.0314;5.0;0.5319;3.0185;3.7532
8.0315;5.0;0.5322;3.0188;3.7532
8.0316;5.0;0.5325;3.0191;3.7532
8.0317;5.0;0.5326;3.0184;3.7530
8.0318;5.0;0.5340;3.0171;3.7521
8.0319;5.0;0.5370;3.0158;3.7508
8.0321;5.0;0.5409;3.0146;3.7493
8.0322;5.0;0.5452;3.0143;3.7479
8.0323;5.0;0.5484;3.0151;3.7471
8.0324;5.0;0.5496;3.0159;3.7469
8.0325;5.0;0.5497;3.0156;3.7468
8.0326;5.0;0.5506;3.0144;3.7462
8.0328;5.0;0.5531;3.0129;3.7450
8.0329;5.0;0.5568;3.0115;3.7434
8.0330;5.0;0.5612;3.0109;3.7419
8.0331;5.0;0.5648;3.0114;3.7409
8.0332;5.0;0.5668;3.0122;3.7405
8.0333;5.0;0.5673;3.0128;3.7405
8.0335;5.0;0.5674;3.0132;3.7406
8.0336;5.0;0.5671;3.0130;3.7406
8.0337;5.0;0.5675;3.0112;3.7400
8.0338;5.0;0.5703;3.0092;3.7385
8.0339;5.0;0.5744;3.0074;3.7367
8.0340;5.0;0.5793;3.0063;3.7349
8.0341;5.0;0.5838;3.0068;3.7336
8.0343;5.0;0.5862;3.0080;3.7332
8.0344;5.0;0.5867;3.0088;3.7333
8.0345;5.0;0.5866;3.0094;3.7335
8.0346;5.0;0.5858;3.0091;3.7336
8.0347;5.0;0.5859;3.0070;3.7330
8.0348;5.0;0.5882;3.0046;3.7316
8.0349;5.0;0.5923;3.0024;3.7297
8.0351;5.0;0.5969;3.0006;3.7277
8.0352;5.0;0.6021;3.0004;3.7260
8.0353;5.0;0.6056;3.0012;3.7251
8.0354;5.0;0.6073;3.0016;3.7247
8.0355;5.0;0.6082;3.0020;3.7246
8.0356;5.0;0.6085;3.0020;3.7245
8.0358;5.0;0.6090;3.0016;3.7242
8.0359;5.0;0.6099;3.0012;3.7238
8.0359;5.0;0.6105;3.0010;3.7236
8.0360;5.0;0.6112;3.0008;3.7233
8.0361;5.0;0.6120;3.0007;3.7230
8.0361;5.0;0.6127;3.0004;3.7227
8.0362;5.0;0.6131;2.9998;3.7224
8.0363;5.0;0.6135;2.9984;3.7219
8.0364;5.0;0.6144;2.9966;3.7211
8.0364;5.0;0.6160;2.9948;3.7200
8.0365;5.0;0.6181;2.9931;3.7189
8.0366;5.0;0.6205;2.9915;3.7177
8.0366;5.0;0.6229;2.9900;3.7165
8.0367;5.0;0.6253;2.9886;3.7154
8.0368;5.0;0.6279;2.9877;3.7143
8.0368;5.0;0.6307;2.9878;3.7134
8.0369;5.0;0.6329;2.9883;3.7129
8.0370;5.0;0.6342;2.9886;3.7126
8.0371;5.0;0.6351;2.9888;3.7124
8.0371;5.0;0.6358;2.9891;3.7122
8.0372;5.0;0.6361;2.9891;3.7121
8.0373;5.0;0.6362;2.9890;3.7120
8.0373;5.0;0.6361;2.9884;3.7119
8.0374;5.0;0.6354;2.9870;3.7117
8.0375;5.0;0.6348;2.9851;3.7114
8.0375;5.0;0.6347;2.9831;3.7108
8.0376;5.0;0.6350;2.9811;3.7102
8.0377;5.0;0.6357;2.9793;3.7094
8.0377;5.0;0.6365;2.9775;3.7087
8.0378;5.0;0.6377;2.9762;3.7079
7.8380;5.5;0.3407;2.8702;3.7606
