log(t(yr));M/Mo;logP;log(L/Lo);logTe
8.1720;4.0;0.2989;2.8091;3.7780
8.1720;4.0;0.3302;2.7996;3.7659
8.1720;4.0;0.3551;2.7892;3.7555
8.1720;4.0;0.3736;2.7777;3.7468
8.0555;4.5;0.4411;2.9916;3.7735
8.0555;4.5;0.4774;2.9819;3.7599
8.0556;4.5;0.5066;2.9711;3.7481
8.0556;4.5;0.5278;2.9592;3.7384
7.9536;5.0;0.5863;3.1469;3.7620
7.9536;5.0;0.6235;3.1364;3.7479
7.9536;5.0;0.6510;3.1246;3.7363
7.9536;5.0;0.6688;3.1115;3.7273
7.9947;5.0;1.0091;3.4041;3.7057
7.9947;5.0;1.0088;3.4041;3.7058
7.9948;5.0;1.0088;3.4042;3.7058
7.9948;5.0;1.0091;3.4045;3.7058
7.9949;5.0;1.0092;3.4049;3.7059
7.9949;5.0;1.0090;3.4051;3.7060
7.9950;5.0;1.0089;3.4052;3.7061
7.9951;5.0;1.0090;3.4054;3.7061
7.9951;5.0;1.0092;3.4059;3.7062
7.9952;5.0;1.0090;3.4062;3.7063
7.9952;5.0;1.0086;3.4061;3.7064
7.9953;5.0;1.0087;3.4061;3.7064
7.9953;5.0;1.0090;3.4063;3.7064
7.9954;5.0;1.0093;3.4065;3.7063
7.9954;5.0;1.0095;3.4067;3.7063
7.9955;5.0;1.0096;3.4069;3.7063
7.9955;5.0;1.0097;3.4069;3.7063
7.9956;5.0;1.0100;3.4071;3.7063
7.9957;5.0;1.0102;3.4074;3.7063
7.9957;5.0;1.0103;3.4074;3.7063
7.9958;5.0;1.0107;3.4079;3.7063
7.9958;5.0;1.0106;3.4082;3.7064
7.9959;5.0;1.0104;3.4081;3.7064
7.9959;5.0;1.0105;3.4079;3.7063
7.9960;5.0;1.0112;3.4081;3.7062
7.9960;5.0;1.0120;3.4092;3.7063
7.9961;5.0;1.0114;3.4097;3.7066
7.9961;5.0;1.0106;3.4095;3.7068
7.9962;5.0;1.0103;3.4092;3.7068
7.9963;5.0;1.0105;3.4088;3.7066
7.9963;5.0;1.0112;3.4086;3.7063
7.9964;5.0;1.0123;3.4086;3.7060
7.9964;5.0;1.0134;3.4089;3.7058
7.9965;5.0;1.0139;3.4090;3.7056
7.9965;5.0;1.0143;3.4088;3.7055
7.9966;5.0;1.0165;3.4106;3.7053
7.9967;5.0;1.0158;3.4117;3.7058
7.9968;5.0;1.0142;3.4115;3.7063
7.9968;5.0;1.0131;3.4110;3.7064
7.9969;5.0;1.0130;3.4104;3.7063
7.9969;5.0;1.0137;3.4100;3.7060
7.9970;5.0;1.0148;3.4096;3.7055
7.8617;5.5;0.6840;3.2963;3.7643
7.8617;5.5;0.7261;3.2860;3.7487
7.8617;5.5;0.7598;3.2742;3.7353
7.8617;5.5;0.7820;3.2599;3.7246
7.8617;5.5;0.7949;3.2465;3.7170
7.8953;5.5;1.1139;3.5267;3.6984
7.8954;5.5;1.1113;3.5280;3.6995
7.8955;5.5;1.1084;3.5292;3.7007
7.8956;5.5;1.1054;3.5307;3.7020
7.8957;5.5;1.1020;3.5317;3.7034
7.8958;5.5;1.0990;3.5328;3.7046
7.8959;5.5;1.0956;3.5340;3.7059
7.8961;5.5;1.0923;3.5351;3.7072
7.8962;5.5;1.0886;3.5363;3.7087
7.8963;5.5;1.0848;3.5371;3.7100
7.8964;5.5;1.0811;3.5383;3.7115
7.8965;5.5;1.0771;3.5392;3.7129
7.8966;5.5;1.0733;3.5401;3.7143
7.8967;5.5;1.0689;3.5412;3.7159
7.8968;5.5;1.0648;3.5421;3.7174
7.8969;5.5;1.0604;3.5430;3.7190
7.8971;5.5;1.0564;3.5437;3.7204
7.8972;5.5;1.0525;3.5447;3.7219
7.8973;5.5;1.0479;3.5455;3.7235
7.8974;5.5;1.0440;3.5463;3.7249
7.8975;5.5;1.0396;3.5471;3.7264
7.8976;5.5;1.0358;3.5478;3.7278
7.8977;5.5;1.0311;3.5487;3.7294
7.8978;5.5;1.0269;3.5492;3.7309
7.8979;5.5;1.0233;3.5500;3.7322
7.8981;5.5;1.0190;3.5507;3.7337
7.8982;5.5;1.0153;3.5515;3.7350
7.8983;5.5;1.0104;3.5523;3.7367
7.8984;5.5;1.0065;3.5527;3.7379
7.8985;5.5;1.0037;3.5535;3.7391
7.8986;5.5;0.9992;3.5542;3.7406
7.8987;5.5;0.9959;3.5545;3.7417
7.8988;5.5;0.9935;3.5553;3.7426
7.8989;5.5;0.9891;3.5560;3.7441
7.8990;5.5;0.9862;3.5563;3.7451
7.8992;5.5;0.9832;3.5573;3.7463
7.8993;5.5;0.9788;3.5578;3.7477
7.8994;5.5;0.9765;3.5580;3.7485
7.8995;5.5;0.9741;3.5590;3.7495
7.8996;5.5;0.9703;3.5594;3.7507
7.8997;5.5;0.9685;3.5596;3.7514
7.8998;5.5;0.9672;3.5602;3.7519
7.8999;5.5;0.9654;3.5607;3.7526
7.9000;5.5;0.9635;3.5613;3.7533
7.9002;5.5;0.9612;3.5618;3.7542
7.9003;5.5;0.9593;3.5623;3.7549
7.9004;5.5;0.9574;3.5627;3.7555
7.9005;5.5;0.9544;3.5638;3.7568
7.9006;5.5;0.9506;3.5639;3.7579
7.9007;5.5;0.9505;3.5639;3.7580
7.9008;5.5;0.9514;3.5644;3.7579
7.9009;5.5;0.9506;3.5648;3.7582
7.9010;5.5;0.9501;3.5654;3.7585
7.9011;5.5;0.9489;3.5657;3.7590
7.9012;5.5;0.9487;3.5659;3.7590
7.9013;5.5;0.9483;3.5663;3.7593
7.9013;5.5;0.9474;3.5665;3.7596
7.9014;5.5;0.9471;3.5666;3.7597
7.9014;5.5;0.9472;3.5668;3.7598
7.9015;5.5;0.9467;3.5673;3.7600
7.9016;5.5;0.9457;3.5675;3.7604
7.9016;5.5;0.9453;3.5674;3.7605
7.9017;5.5;0.9458;3.5674;3.7604
7.9017;5.5;0.9463;3.5680;3.7604
7.9018;5.5;0.9454;3.5684;3.7607
7.9019;5.5;0.9446;3.5683;3.7610
7.9019;5.5;0.9450;3.5682;3.7608
7.9020;5.5;0.9464;3.5683;3.7604
7.9020;5.5;0.9467;3.5693;3.7606
7.9021;5.5;0.9441;3.5700;3.7616
7.9022;5.5;0.9416;3.5698;3.7623
7.9022;5.5;0.9412;3.5695;3.7623
7.9023;5.5;0.9425;3.5693;3.7619
7.9023;5.5;0.9448;3.5692;3.7611
7.9024;5.5;0.9473;3.5694;3.7604
7.9025;5.5;0.9486;3.5702;3.7603
7.9025;5.5;0.9475;3.5707;3.7608
7.9026;5.5;0.9463;3.5706;3.7611
7.9027;5.5;0.9469;3.5703;3.7608
7.9027;5.5;0.9489;3.5701;3.7602
7.9028;5.5;0.9515;3.5703;3.7594
7.9028;5.5;0.9520;3.5722;3.7598
7.9029;5.5;0.9462;3.5734;3.7619
7.9030;5.5;0.9401;3.5731;3.7637
7.9030;5.5;0.9377;3.5725;3.7642
7.9031;5.5;0.9388;3.5720;3.7637
7.9031;5.5;0.9417;3.5717;3.7628
7.9032;5.5;0.9455;3.5715;3.7616
7.9033;5.5;0.9496;3.5714;3.7603
7.9033;5.5;0.9537;3.5714;3.7591
7.9034;5.5;0.9576;3.5714;3.7579
7.9034;5.5;0.9612;3.5715;3.7568
7.9035;5.5;0.9639;3.5718;3.7561
7.9036;5.5;0.9660;3.5719;3.7555
7.9036;5.5;0.9683;3.5716;3.7547
7.9037;5.5;0.9715;3.5718;3.7538
7.9037;5.5;0.9733;3.5724;3.7535
7.9038;5.5;0.9731;3.5728;3.7536
7.9039;5.5;0.9730;3.5726;3.7536
7.9039;5.5;0.9749;3.5722;3.7529
7.9040;5.5;0.9778;3.5725;3.7521
7.9040;5.5;0.9791;3.5730;3.7519
7.9041;5.5;0.9793;3.5730;3.7518
7.9042;5.5;0.9808;3.5726;3.7512
7.9042;5.5;0.9841;3.5726;3.7502
7.9043;5.5;0.9863;3.5732;3.7497
7.9043;5.5;0.9866;3.5734;3.7497
7.9044;5.5;0.9878;3.5729;3.7492
7.9045;5.5;0.9913;3.5725;3.7480
7.9045;5.5;0.9951;3.5730;3.7470
7.9046;5.5;0.9966;3.5735;3.7467
7.9046;5.5;0.9974;3.5732;3.7464
7.9047;5.5;1.0003;3.5726;3.7454
7.9048;5.5;1.0047;3.5726;3.7440
7.9048;5.5;1.0080;3.5732;3.7432
7.9049;5.5;1.0090;3.5735;3.7430
7.9049;5.5;1.0105;3.5729;3.7424
7.9050;5.5;1.0144;3.5725;3.7411
7.9051;5.5;1.0182;3.5731;3.7401
7.9051;5.5;1.0194;3.5738;3.7399
7.9052;5.5;1.0190;3.5737;3.7400
7.9052;5.5;1.0205;3.5729;3.7394
7.9053;5.5;1.0250;3.5721;3.7378
7.9054;5.5;1.0312;3.5721;3.7359
7.9054;5.5;1.0355;3.5728;3.7348
7.9055;5.5;1.0371;3.5734;3.7345
7.9055;5.5;1.0372;3.5734;3.7345
7.9056;5.5;1.0386;3.5725;3.7338
7.9057;5.5;1.0440;3.5714;3.7318
7.9057;5.5;1.0521;3.5709;3.7292
7.9058;5.5;1.0593;3.5714;3.7272
7.9058;5.5;1.0629;3.5722;3.7263
7.9059;5.5;1.0638;3.5726;3.7262
7.9060;5.5;1.0647;3.5718;3.7257
7.9060;5.5;1.0664;3.5712;3.7250
7.9060;5.5;1.0689;3.5706;3.7241
7.9061;5.5;1.0719;3.5701;3.7230
7.9061;5.5;1.0755;3.5697;3.7219
7.9061;5.5;1.0792;3.5697;3.7208
7.9061;5.5;1.0824;3.5700;3.7199
7.9062;5.5;1.0848;3.5705;3.7193
7.9062;5.5;1.0864;3.5709;3.7189
7.9062;5.5;1.0872;3.5712;3.7187
7.9063;5.5;1.0876;3.5714;3.7187
7.9063;5.5;1.0877;3.5712;3.7186
7.9063;5.5;1.0881;3.5707;3.7184
7.9064;5.5;1.0891;3.5701;3.7179
7.9064;5.5;1.0908;3.5694;3.7172
7.9064;5.5;1.0932;3.5687;3.7163
7.9065;5.5;1.0961;3.5681;3.7152
7.9065;5.5;1.0992;3.5676;3.7141
7.9065;5.5;1.1026;3.5673;3.7130
7.9066;5.5;1.1060;3.5674;3.7120
7.9066;5.5;1.1090;3.5677;3.7112
7.9066;5.5;1.1113;3.5681;3.7106
7.9067;5.5;1.1128;3.5684;3.7103
7.9067;5.5;1.1136;3.5684;3.7100
7.9067;5.5;1.1142;3.5679;3.7097
7.9067;5.5;1.1151;3.5672;3.7092
7.9068;5.5;1.1165;3.5664;3.7086
7.9068;5.5;1.1185;3.5656;3.7077
7.9068;5.5;1.1210;3.5649;3.7068
7.9069;5.5;1.1238;3.5645;3.7058
7.9069;5.5;1.1269;3.5645;3.7049
7.9069;5.5;1.1296;3.5649;3.7042
7.9070;5.5;1.1316;3.5652;3.7037
7.9070;5.5;1.1329;3.5652;3.7033
7.9070;5.5;1.1336;3.5648;3.7030
7.9071;5.5;1.1343;3.5640;3.7026
7.9071;5.5;1.1354;3.5631;3.7020
7.9071;5.5;1.1370;3.5621;3.7012
7.9072;5.5;1.1389;3.5612;3.7004
7.9072;5.5;1.1414;3.5606;3.6995
7.9072;5.5;1.1442;3.5604;3.6986
7.9073;5.5;1.1470;3.5606;3.6978
7.9073;5.5;1.1491;3.5608;3.6972
7.9073;5.5;1.1504;3.5605;3.6967
7.9074;5.5;1.1513;3.5598;3.6963
7.9074;5.5;1.1523;3.5588;3.6957
7.7829;6.0;0.7849;3.4269;3.7611
7.7829;6.0;0.8296;3.4165;3.7448
7.7829;6.0;0.8667;3.4035;3.7300
7.7829;6.0;0.8917;3.3909;3.7189
7.7829;6.0;0.9026;3.3773;3.7119
7.8130;6.0;1.2220;3.6486;3.6907
7.8131;6.0;1.2166;3.6511;3.6930
7.8132;6.0;1.2109;3.6532;3.6953
7.8133;6.0;1.2041;3.6553;3.6980
7.8134;6.0;1.1958;3.6573;3.7010
7.8135;6.0;1.1868;3.6591;3.7042
7.8136;6.0;1.1779;3.6607;3.7073
7.8138;6.0;1.1690;3.6620;3.7104
7.8139;6.0;1.1604;3.6634;3.7133
7.8140;6.0;1.1517;3.6646;3.7163
7.8141;6.0;1.1434;3.6656;3.7191
7.8142;6.0;1.1350;3.6668;3.7220
7.8143;6.0;1.1265;3.6677;3.7248
7.8144;6.0;1.1180;3.6689;3.7277
7.8145;6.0;1.1091;3.6698;3.7306
7.8146;6.0;1.1015;3.6706;3.7331
7.8147;6.0;1.0936;3.6717;3.7358
7.8148;6.0;1.0853;3.6726;3.7385
7.8150;6.0;1.0773;3.6736;3.7412
7.8151;6.0;1.0694;3.6743;3.7438
7.8152;6.0;1.0627;3.6751;3.7461
7.8153;6.0;1.0554;3.6760;3.7485
7.8154;6.0;1.0485;3.6767;3.7508
7.8155;6.0;1.0417;3.6775;3.7531
7.8156;6.0;1.0355;3.6781;3.7551
7.8157;6.0;1.0301;3.6789;3.7570
7.8158;6.0;1.0239;3.6797;3.7591
7.8159;6.0;1.0180;3.6805;3.7611
7.8248;6.0;1.0398;3.7051;3.7613
7.8249;6.0;1.0442;3.7049;3.7599
7.8249;6.0;1.0487;3.7048;3.7585
7.8249;6.0;1.0532;3.7046;3.7571
7.8250;6.0;1.0577;3.7043;3.7557
7.8250;6.0;1.0623;3.7041;3.7542
7.8250;6.0;1.0669;3.7039;3.7528
7.8250;6.0;1.0717;3.7037;3.7513
7.8251;6.0;1.0765;3.7034;3.7497
7.8251;6.0;1.0815;3.7032;3.7482
7.8251;6.0;1.0866;3.7029;3.7465
7.8252;6.0;1.0918;3.7026;3.7449
7.8252;6.0;1.0970;3.7023;3.7433
7.8252;6.0;1.1022;3.7021;3.7416
7.8252;6.0;1.1074;3.7018;3.7400
7.8253;6.0;1.1127;3.7015;3.7383
7.8253;6.0;1.1181;3.7012;3.7366
7.8253;6.0;1.1233;3.7009;3.7349
7.8254;6.0;1.1286;3.7006;3.7332
7.8254;6.0;1.1338;3.7002;3.7316
7.8254;6.0;1.1396;3.6998;3.7297
7.8254;6.0;1.1456;3.6994;3.7278
7.8255;6.0;1.1515;3.6990;3.7259
7.8255;6.0;1.1573;3.6986;3.7240
7.8255;6.0;1.1630;3.6981;3.7222
7.8256;6.0;1.1685;3.6977;3.7204
7.8256;6.0;1.1738;3.6972;3.7187
7.8256;6.0;1.1790;3.6967;3.7170
7.8256;6.0;1.1841;3.6962;3.7153
7.8257;6.0;1.1890;3.6957;3.7137
7.8257;6.0;1.1938;3.6951;3.7120
7.8257;6.0;1.1989;3.6944;3.7103
7.8258;6.0;1.2041;3.6937;3.7086
7.8258;6.0;1.2092;3.6929;3.7068
7.8258;6.0;1.2141;3.6922;3.7051
7.8258;6.0;1.2188;3.6914;3.7035
7.8259;6.0;1.2234;3.6906;3.7019
7.8259;6.0;1.2277;3.6898;3.7003
7.8259;6.0;1.2319;3.6890;3.6989
7.8260;6.0;1.2358;3.6881;3.6974
7.8260;6.0;1.2396;3.6872;3.6960
7.8260;6.0;1.2432;3.6862;3.6947
7.8260;6.0;1.2467;3.6851;3.6933
7.8261;6.0;1.2501;3.6840;3.6920
7.8261;6.0;1.2531;3.6829;3.6908
7.8261;6.0;1.2557;3.6817;3.6897
7.8262;6.0;1.2582;3.6804;3.6886
7.7130;6.5;0.8806;3.5461;3.7572
7.7130;6.5;0.9258;3.5353;3.7405
7.7130;6.5;0.9646;3.5221;3.7251
7.7130;6.5;0.9875;3.5090;3.7146
7.7130;6.5;0.9965;3.4938;3.7077
7.7131;6.5;1.0014;3.4769;3.7015
7.7409;6.5;1.3211;3.7646;3.6848
7.7410;6.5;1.3120;3.7685;3.6886
7.7412;6.5;1.2986;3.7723;3.6937
7.7413;6.5;1.2805;3.7755;3.7000
7.7414;6.5;1.2603;3.7778;3.7068
7.7415;6.5;1.2400;3.7798;3.7134
7.7416;6.5;1.2197;3.7812;3.7200
7.7417;6.5;1.2010;3.7824;3.7259
7.7418;6.5;1.1834;3.7837;3.7316
7.7419;6.5;1.1686;3.7847;3.7363
7.7420;6.5;1.1562;3.7856;3.7403
7.7421;6.5;1.1445;3.7866;3.7441
7.7422;6.5;1.1334;3.7875;3.7477
7.7423;6.5;1.1233;3.7884;3.7510
7.7424;6.5;1.1139;3.7892;3.7541
7.7425;6.5;1.1050;3.7901;3.7570
7.7426;6.5;1.0965;3.7909;3.7598
7.7541;6.5;1.1262;3.8219;3.7594
7.7541;6.5;1.1323;3.8216;3.7575
7.7542;6.5;1.1385;3.8212;3.7555
7.7542;6.5;1.1449;3.8209;3.7535
7.7542;6.5;1.1515;3.8206;3.7514
7.7543;6.5;1.1583;3.8202;3.7493
7.7543;6.5;1.1652;3.8198;3.7471
7.7543;6.5;1.1723;3.8194;3.7448
7.7543;6.5;1.1795;3.8190;3.7425
7.7544;6.5;1.1869;3.8186;3.7402
7.7544;6.5;1.1943;3.8181;3.7378
7.7544;6.5;1.2019;3.8177;3.7354
7.7544;6.5;1.2095;3.8172;3.7330
7.7545;6.5;1.2174;3.8167;3.7305
7.7545;6.5;1.2259;3.8162;3.7278
7.7545;6.5;1.2343;3.8156;3.7251
7.7546;6.5;1.2426;3.8150;3.7224
7.7546;6.5;1.2507;3.8144;3.7198
7.7546;6.5;1.2585;3.8137;3.7172
7.7546;6.5;1.2662;3.8130;3.7147
7.7547;6.5;1.2736;3.8122;3.7123
7.7547;6.5;1.2814;3.8113;3.7097
7.7547;6.5;1.2893;3.8104;3.7070
7.7548;6.5;1.2968;3.8094;3.7045
7.7548;6.5;1.3039;3.8084;3.7021
7.7548;6.5;1.3106;3.8073;3.6997
7.7548;6.5;1.3170;3.8062;3.6975
7.7549;6.5;1.3230;3.8050;3.6954
7.7549;6.5;1.3287;3.8037;3.6933
7.7549;6.5;1.3339;3.8023;3.6914
7.7550;6.5;1.3380;3.8009;3.6897
7.7550;6.5;1.3421;3.7993;3.6880
7.7550;6.5;1.3460;3.7976;3.6864
7.7550;6.5;1.3497;3.7958;3.6848
7.7551;6.5;1.3531;3.7938;3.6832
7.7551;6.5;1.3563;3.7917;3.6817
7.6497;7.0;0.9602;3.6527;3.7551
7.6497;7.0;1.0060;3.6418;3.7383
7.6497;7.0;1.0454;3.6287;3.7228
7.6498;7.0;1.0686;3.6142;3.7118
7.6498;7.0;1.0799;3.5982;3.7039
7.6498;7.0;1.0853;3.5804;3.6974
7.6759;7.0;1.4170;3.8654;3.6762
7.6759;7.0;1.4146;3.8676;3.6775
7.6760;7.0;1.4117;3.8698;3.6791
7.6760;7.0;1.4078;3.8722;3.6809
7.6760;7.0;1.4026;3.8746;3.6831
7.6761;7.0;1.3960;3.8769;3.6857
7.6761;7.0;1.3876;3.8792;3.6889
7.6762;7.0;1.3767;3.8813;3.6928
7.6762;7.0;1.3641;3.8831;3.6971
7.6762;7.0;1.3502;3.8846;3.7017
7.6763;7.0;1.3056;3.8876;3.7160
7.6764;7.0;1.2609;3.8894;3.7300
7.6766;7.0;1.2233;3.8909;3.7417
7.6767;7.0;1.1947;3.8919;3.7506
7.6768;7.0;1.1736;3.8928;3.7572
7.6905;7.0;1.2124;3.9269;3.7550
7.6905;7.0;1.2212;3.9264;3.7522
7.6906;7.0;1.2303;3.9258;3.7493
7.6906;7.0;1.2398;3.9253;3.7462
7.6906;7.0;1.2497;3.9247;3.7431
7.6906;7.0;1.2600;3.9241;3.7398
7.6907;7.0;1.2708;3.9234;3.7364
7.6907;7.0;1.2817;3.9228;3.7329
7.6907;7.0;1.2927;3.9221;3.7294
7.6908;7.0;1.3037;3.9214;3.7259
7.6908;7.0;1.3147;3.9206;3.7224
7.6908;7.0;1.3264;3.9197;3.7186
7.6908;7.0;1.3381;3.9187;3.7148
7.6909;7.0;1.3494;3.9177;3.7111
7.6909;7.0;1.3600;3.9166;3.7076
7.6909;7.0;1.3701;3.9154;3.7042
7.6910;7.0;1.3797;3.9141;3.7009
7.6910;7.0;1.3894;3.9125;3.6976
7.6910;7.0;1.3984;3.9108;3.6944
7.6910;7.0;1.4068;3.9090;3.6914
7.6911;7.0;1.4146;3.9070;3.6885
7.6911;7.0;1.4219;3.9049;3.6857
7.6911;7.0;1.4287;3.9025;3.6830
7.6911;7.0;1.4346;3.8999;3.6805
7.6912;7.0;1.4390;3.8973;3.6784
7.6912;7.0;1.4427;3.8945;3.6765
7.6912;7.0;1.4458;3.8915;3.6747
7.5925;7.5;1.0492;3.7463;3.7472
7.5925;7.5;1.0938;3.7342;3.7304
7.5925;7.5;1.1292;3.7200;3.7157
7.5926;7.5;1.1496;3.7028;3.7048
7.5926;7.5;1.1597;3.6863;3.6972
7.5926;7.5;1.1626;3.6695;3.6917
7.6174;7.5;1.5018;3.9613;3.6702
7.6174;7.5;1.4996;3.9642;3.6716
7.6174;7.5;1.4968;3.9672;3.6733
7.6175;7.5;1.4932;3.9703;3.6752
7.6175;7.5;1.4879;3.9735;3.6777
7.6176;7.5;1.4793;3.9770;3.6813
7.6176;7.5;1.4671;3.9802;3.6859
7.6176;7.5;1.4509;3.9830;3.6916
7.6177;7.5;1.4304;3.9855;3.6984
7.6177;7.5;1.4060;3.9875;3.7063
7.6177;7.5;1.3778;3.9890;3.7153
7.6178;7.5;1.3470;3.9902;3.7249
7.6178;7.5;1.3180;3.9910;3.7338
7.6178;7.5;1.2913;3.9916;3.7421
7.6179;7.5;1.2673;3.9921;3.7494
7.6179;7.5;1.2461;3.9925;3.7559
7.6321;7.5;1.2793;4.0216;3.7540
7.6321;7.5;1.2900;4.0210;3.7506
7.6321;7.5;1.3011;4.0204;3.7471
7.6321;7.5;1.3127;4.0197;3.7434
7.6322;7.5;1.3247;4.0190;3.7396
7.6322;7.5;1.3370;4.0183;3.7357
7.6322;7.5;1.3496;4.0174;3.7316
7.6323;7.5;1.3626;4.0166;3.7275
7.6323;7.5;1.3765;4.0156;3.7230
7.6323;7.5;1.3909;4.0146;3.7184
7.6323;7.5;1.4050;4.0135;3.7138
7.6324;7.5;1.4185;4.0123;3.7094
7.6324;7.5;1.4314;4.0109;3.7051
7.6324;7.5;1.4448;4.0093;3.7007
7.6325;7.5;1.4571;4.0076;3.6965
7.6325;7.5;1.4683;4.0057;3.6926
7.6325;7.5;1.4785;4.0036;3.6889
7.6325;7.5;1.4876;4.0013;3.6855
7.6326;7.5;1.4951;3.9986;3.6825
7.6326;7.5;1.5024;3.9954;3.6795
7.6326;7.5;1.5090;3.9920;3.6765
7.6327;7.5;1.5144;3.9884;3.6739
7.6327;7.5;1.5187;3.9845;3.6715
7.6327;7.5;1.5223;3.9805;3.6693
7.5407;8.0;1.0843;3.8442;3.7571
7.5407;8.0;1.1291;3.8335;3.7407
7.5407;8.0;1.1724;3.8212;3.7242
7.5407;8.0;1.2033;3.8061;3.7107
7.5407;8.0;1.2219;3.7893;3.7004
7.5407;8.0;1.2308;3.7727;3.6932
7.5407;8.0;1.2320;3.7565;3.6883
7.5407;8.0;1.2340;3.7422;3.6837
7.5648;8.0;1.5799;4.0488;3.6643
7.5649;8.0;1.5783;4.0520;3.6657
7.5649;8.0;1.5764;4.0555;3.6672
7.5650;8.0;1.5738;4.0593;3.6690
7.5650;8.0;1.5700;4.0632;3.6713
7.5650;8.0;1.5626;4.0680;3.6748
7.5651;8.0;1.5495;4.0724;3.6800
7.5651;8.0;1.5292;4.0765;3.6873
7.5651;8.0;1.5014;4.0799;3.6966
7.5652;8.0;1.4643;4.0824;3.7084
7.5653;8.0;1.3415;4.0861;3.7465
7.5790;8.0;1.3497;4.1076;3.7500
7.5791;8.0;1.3625;4.1069;3.7460
7.5791;8.0;1.3757;4.1061;3.7417
7.5791;8.0;1.3895;4.1053;3.7374
7.5792;8.0;1.4039;4.1044;3.7328
7.5792;8.0;1.4188;4.1034;3.7280
7.5792;8.0;1.4349;4.1024;3.7229
7.5792;8.0;1.4511;4.1012;3.7177
7.5793;8.0;1.4672;4.0999;3.7124
7.5793;8.0;1.4833;4.0984;3.7072
7.5793;8.0;1.4997;4.0967;3.7017
7.5793;8.0;1.5147;4.0948;3.6967
7.5794;8.0;1.5283;4.0927;3.6920
7.5794;8.0;1.5402;4.0903;3.6877
7.5794;8.0;1.5504;4.0874;3.6839
7.5795;8.0;1.5601;4.0841;3.6800
7.5795;8.0;1.5694;4.0801;3.6761
7.5795;8.0;1.5781;4.0757;3.6723
7.5795;8.0;1.5841;4.0713;3.6692
7.5796;8.0;1.5881;4.0667;3.6668
7.5796;8.0;1.5912;4.0615;3.6644
7.4929;8.5;1.1715;3.9130;3.7437
7.4929;8.5;1.2245;3.8975;3.7234
7.4929;8.5;1.2653;3.8776;3.7056
7.4929;8.5;1.2866;3.8586;3.6939
7.4930;8.5;1.2926;3.8393;3.6868
7.4930;8.5;1.2946;3.8218;3.6813
