#  id           HJD       phase     f555w   ef555w   f814w    ef814w   f160w    ef160w   logP
 OGL0434  2459160.61672   0.2577   13.059    0.028   12.124    0.011   11.244    0.018  1.482
 OGL0501  2459146.70178   0.4385   13.785    0.022   12.675    0.012   11.650    0.021  1.367
 OGL0510  2451828.69103   0.1274   13.089    0.037   12.077    0.021   11.155    0.042  1.566
 OGL0512  2459146.72636   0.1892   12.856    0.025   11.804    0.017   10.899    0.017  1.595
 OGL0528  2459131.81205   0.3005   13.069    0.052   11.982    0.021   11.063    0.020  1.553
 OGL0545  2459160.62542   0.8352   14.579    0.045   13.486    0.010   12.494    0.018  1.199
 OGL0590  2459148.84701   0.1314   13.087    0.025   12.163    0.014   11.247    0.038  1.502
 OGL0594  2459146.75709   0.6911   15.408    0.012   14.437    0.011   13.596    0.030  0.828
 OGL0648  2459160.64585   0.2372   14.598    0.012   13.530    0.009   12.575    0.028  1.134
 OGL0683  2459160.67228   0.1281   14.123    0.009   13.147    0.009   12.385    0.020  1.166
 OGL0712  2459160.69472   0.3109   13.748    0.033   12.785    0.009   11.822    0.038  1.316
 OGL0716  2459162.62200   0.3489   14.984    0.012   13.830    0.011   12.818    0.023  1.085
 OGL0727  2459163.59772   0.7902   14.369    0.010   13.367    0.010   12.531    0.033  1.161
 OGL0757  2459161.81898   0.5455   15.430    0.012   14.402    0.012   13.435    0.023  0.924
 OGL0770  2459163.61596   0.4226   14.969    0.012   13.871    0.010   12.892    0.029  1.035
 OGL0787  2459163.75126   0.6923   14.789    0.009   13.486    0.009   12.414    0.042  1.243
 OGL0798  2459162.65654   0.5864   15.055    0.011   13.968    0.009   12.998    0.020  1.029
 OGL0800  2459163.77083   0.9702   14.023    0.018   13.348    0.011   12.754    0.043  1.101
 OGL0812  2459163.79403   0.0206   14.150    0.011   13.396    0.010   12.665    0.024  1.086
 OGL0819  2459163.82225   0.4384   14.320    0.014   13.009    0.010   11.869    0.029  1.348
 OGL0821  2459164.65857   0.2397   13.596    0.009   12.577    0.010   11.571    0.024  1.411
 OGL0831  2459164.67198   0.4606   15.136    0.012   14.033    0.010   13.069    0.023  0.987
 OGL0844  2459164.70210   0.1058   13.598    0.019   12.801    0.011   12.061    0.034  1.235
 OGL0847  2459164.71957   0.5323   14.735    0.009   13.397    0.011   12.242    0.030  1.314
 OGL0848  2459163.84023   0.8285   14.694    0.013   13.640    0.011   12.685    0.027  1.203
 OGL0888  2459162.83140   0.9559   14.725    0.010   13.864    0.010   13.098    0.022  0.971
 OGL0915  2459164.74310   0.4092   15.194    0.013   14.215    0.011   13.305    0.021  0.868
 OGL0936  2459164.78150   0.9814   14.679    0.015   13.928    0.012   13.249    0.023  0.92 
 OGL0949  2459165.66862   0.8493   14.674    0.016   13.703    0.011   12.854    0.018  1.111
 OGL0966  2459131.78805   0.6380   13.356    0.026   12.049    0.014   10.923    0.023  1.676
 OGL0969  2459164.81522   0.3468   14.798    0.013   13.653    0.012   12.624    0.028  1.104
 OGL0970  2459165.69307   0.1037   13.990    0.014   13.031    0.011   12.179    0.031  1.242
 OGL0975  2459165.71396   0.1243   14.361    0.015   13.436    0.011   12.648    0.023  1.101
 OGL0978  2459165.73872   0.2940   14.942    0.011   13.833    0.010   12.882    0.021  1.022
 OGL0986  2459164.84161   0.9396   13.231    0.018   12.396    0.008   11.642    0.045  1.492
 OGL0992  2459131.79632   0.5211   12.492    0.016   11.386    0.011   10.475    0.073  1.723
 OGL1001  2459131.82706   0.4434   14.696    0.009   13.507    0.009   12.420    0.023  1.16 
 OGL1031  2459132.81223   0.5862   14.906    0.011   13.554    0.009   12.316    0.021  1.266
 OGL1058  2459165.76911   0.9624   13.134    0.016   12.334    0.008   11.619    0.021  1.482
 OGL1080  2459165.78052   0.7434   14.538    0.014   13.306    0.011   12.256    0.025  1.27 
 OGL1109  2459165.79880   0.6667   14.947    0.008   13.858    0.009   12.893    0.053  1.074
 OGL1112  2459131.84352   0.3076   14.701    0.010   13.857    0.011   13.054    0.053  0.899
 OGL1313  2459166.72324   0.9292   14.924    0.012   14.210    0.012   13.605    0.026  0.834
 OGL1374  2459166.76143   0.3794   15.428    0.011   14.436    0.012   13.551    0.031  0.838
 OGL1389  2459165.82206   0.2840   14.876    0.011   14.048    0.012   13.291    0.019  0.862
 OGL1411  2459167.68841   0.7261   15.395    0.010   14.378    0.011   13.540    0.026  0.897
 OGL1417  2459167.73351   0.4316   14.961    0.009   13.966    0.010   13.102    0.031  0.938
 OGL1424  2459168.76925   0.0006   15.457    0.013   14.514    0.015   13.655    0.030  0.83 
 OGL1431  2459166.80743   0.7531   14.842    0.010   13.887    0.009   13.122    0.027  1.01 
 OGL1463  2459169.67392   0.1260   14.859    0.011   14.030    0.011   13.268    0.024  0.876
 OGL1466  2459167.76618   0.9098   15.444    0.012   14.552    0.013   13.750    0.031  0.789
 OGL1490  2459170.75487   0.2465   14.457    0.014   13.707    0.010   13.069    0.023  0.912
 OGL1526  2459170.78365   0.7563   15.574    0.012   14.544    0.011   13.621    0.025  0.828
 OGL1539  2459170.82233   0.5316   15.002    0.016   13.779    0.011   12.686    0.019  1.13 
 OGL1578  2459160.82901   0.8202   14.505    0.017   13.531    0.010   12.778    0.023  1.123
 OGL1587  2459166.83679   0.6855   14.304    0.008   13.067    0.009   12.056    0.034  1.334
 OGL1616  2459168.82760   0.3429   14.870    0.017   13.579    0.012   12.457    0.033  1.191
 OGL1637  2459146.71636   0.7816   13.990    0.025   12.634    0.014   11.504    0.035  1.504
 OGL1641  2459146.73915   0.0697   13.768    0.010   13.035    0.010   12.350    0.026  1.144
 OGL1647  2459167.82066   0.8869   14.808    0.019   13.981    0.015   13.248    0.028  0.939
 OGL1677  2459161.80449   0.0333   13.044    0.013   12.380    0.017   11.830    0.020  1.372
 OGL1862  2459162.76572   0.2332   14.778    0.013   13.653    0.010   12.642    0.028  1.118
 OGL1939  2459160.77791   0.8346   15.799    0.021   14.794    0.015   13.835    0.029  0.782
 OGL1941  2459160.72031   0.4380   15.730    0.015   14.565    0.013   13.570    0.029  0.832
 OGL1994  2459163.65732   0.9900   14.347    0.022   13.713    0.011   13.191    0.019  0.889
 OGL2012  2459162.79658   0.1205   14.890    0.011   14.030    0.010   13.278    0.025  0.872
 OGL2019  2459163.68524   0.7111   14.173    0.018   12.892    0.014   11.848    0.025  1.448
 OGL2043  2459163.69865   0.3209   15.226    0.011   14.282    0.012   13.444    0.038  0.867
